@relation 'en5_m03_DIEC_2013-16_Class4-class2_181p-numeric-Q1-weka.filters.unsupervised.attribute.Remove-R1-3,6-12,14-18,20-85,102-182,184-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SMOTE-C2-K5-P1188.5-S1'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
0.166667,0,0.081186,0.133603,0.402913,0.420139,0.545817,0.16129,0.57,0.741379,0,0,0,0.327586,0,0,0,0,0,0,1
0.333333,0,0.081186,0.133603,0.470874,0.333333,0.577689,0.064516,1,0.87931,0.001927,0,0,0,0,0,0,0,0,0,0
0.5,0,0.081186,0.133603,0.480583,0.409722,0.705179,0.112903,0.57,0.810345,0.084778,0,0,0.215517,0,0,0,0,0,0,0
0.666667,0,0.081186,0.133603,0.383495,0.288194,0.525896,0.112903,0.6,0.87931,0,0,0,0.060345,0,0,0,0,0,0,0
0.833333,0.5,0.081186,0.133603,0.723301,0.715278,0.645418,0.5,0.33,0.275862,0,0,0,0.344828,1,0,0,0,0,0,0
1,1,0.081186,0.133603,0.485437,0.496528,0.545817,0.080645,0.4,0.758621,0,0,0,0.431034,0,0,0,0,0,0,0
0,0,0.081186,0.133603,0.378641,0.270833,0.549801,0.241935,1,0.87931,0,0,0,0,0,0,0,0,0,0,0
0.166667,0,0.081186,0.133603,0.412621,0.295139,0.505976,0.112903,0.97,0.551724,0,0,0,0.008621,0,0,0,0,0,0,0
0.333333,0,0.081186,0.133603,0.470874,0.375,0.641434,0.145161,0.87,0.741379,0,0,0,0.077586,0,0,0,0,0,0,0
0.5,0,0.081186,0.133603,0.524272,0.444444,0.737052,0.274194,0.7,0.793103,0.015414,0,0,0.12069,0,0,0,0,0,0,0
0.666667,0,0.081186,0.133603,0.456311,0.434028,0.52988,0.16129,0.77,0.689655,0.003854,0,0,0.456897,0,0,0,0,0,0,0
0.833333,0.5,0.052835,0.133603,0.339806,0.274306,0.59761,0.193548,0.83,0.258621,0,0,0,0.456897,0,0,0,0,0,0,0
1,1,0.052835,0.133603,0.257282,0.1875,0.593625,0.16129,1,0.810345,0,0,0,0,0,0,0,0,0,0,0
0,0,0.052835,0.133603,0.228155,0.142361,0.533865,0.080645,1,0.793103,0.404624,0.566038,1,0,0,0,0,0,0,0,0
0.166667,0,0.081186,0.133603,0.276699,0.180556,0.553785,0.096774,1,0.913793,0.123314,0.54717,0.166667,0,0,0,0,0,0,0,0
0.333333,0,0.081186,0.133603,0.271845,0.170139,0.59761,0.112903,1,0.948276,0.084778,0.54717,0.166667,0,0,0,0,0,0,0,0
0.5,0,0.081186,0.133603,0.296117,0.197917,0.569721,0.129032,1,0.896552,0.157996,0.679245,0.4,0,0,0,0,0,0,0,0
0.666667,0,0.081186,0,0.276699,0.204861,0.549801,0.209677,1,0.793103,0.100193,0.698113,0.2,0,0,0,0,0,0,0,0
0.833333,0.5,0.081186,0,0.276699,0.190972,0.49004,0.129032,0.93,0.827586,0.003854,0.622642,0,0,0,0,0,0,0,0,0
1,1,0.081186,0,0.383495,0.256944,0.589641,0.080645,1,0.965517,0.036609,0.490566,0,0,0,0,0,0,0,0,0
0,0,0.081186,0.311741,0.417476,0.288194,0.641434,0.080645,1,0.965517,0.283237,0.245283,0,0,0,0,0,0,0,0,0
0.166667,0,0.081186,0.481781,0.378641,0.253472,0.629482,0.129032,0.97,0.931034,0.22736,0.188679,0.033333,0,0,0,0,0,0,0,0
0.333333,0,0.081186,0.311741,0.38835,0.3125,0.63745,0.16129,0.9,0.862069,0.157996,0.150943,0.033333,0.12069,0,0,0,0,0,0,0
0.5,0,0.081186,0.133603,0.373786,0.253472,0.61753,0.193548,0.97,0.810345,0.034682,0.132075,0,0,0,0,0,0,0,0,0
0.666667,0,0.081186,0.133603,0.242718,0.21875,0.577689,0.370968,0.9,0.551724,0.00578,0.113208,0,0.077586,0,0,0,0,0,0,0
0.833333,0.5,0.081186,0.133603,0.131068,0.114583,0.442231,0.16129,0.63,0.465517,0,0.09434,0,0.405172,0,0,0,0,0,0,0
1,1,0.081186,0.133603,0.203883,0.21875,0.430279,0.177419,0.7,0.5,0,0.09434,0,0.344828,0,0,0,0,0,0,0
0,0,0.081186,0.133603,0.334951,0.270833,0.462151,0.16129,1,0.775862,0,0.09434,0,0,0,0,0,0,0,0,0
