@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
1,1,0.746408,0.987071,0,0.107143,0.480663,0.6875,0.793814,0.162791,0.221333,0,0,0.377778,1,0,0,0,0,0,0
0,0,0.474104,0.824632,0.013514,0.130952,0,0.6875,0.381443,0.069767,0,0,0,0.792593,1,0,0,0,0,0,0
0.166667,0,0.337275,0.756176,0.148649,0.166667,0.480663,0.0625,0.649485,0.023256,0,0,0,0.725926,1,0,0,0,0,0,0
0.333333,0,0.312326,0.700221,0.047297,0,0.497238,0.4375,0.958763,0.627907,0,0,0,0.081481,0,0,0,0,0,0,0
0.5,0,0.336621,0.642824,0.040541,0.130952,0.491713,0.6875,0.824742,0.837209,0.136,0,0,0.207407,0,0,1,0,0,0,0
0.666667,0,0.362784,0.624559,0.067568,0.190476,0.447514,0.53125,0.484536,0.27907,0.688,0,0,0.577778,0,0,0,0,0,0,0
0.833333,0.5,0.290079,0.568513,0.047297,0.178571,0.232044,0.53125,0.206186,0.116279,0,0,0,0.859259,0,0,0,0,0,0,0
1,1,0.267909,0.528937,0.263514,0.434524,0.18232,0.40625,0.206186,0.116279,0,0,0,0.837037,0,0,0,0,0,0,0
0,0,0.246772,0.508144,0.148649,0.380952,0.187845,0.71875,0.85567,0.488372,0,0,0,0.42963,1,0,0,0,0,0,0
0.166667,0,0.276535,0.479454,0.168919,0.14881,0.723757,0.65625,0.958763,0.55814,0.136,0,0,0.288889,1,0,0,0,0,0,0
0.333333,0,0.315695,0.440742,0.351351,0.285714,0.751381,0.34375,0.896907,0.209302,0.085333,0,0,0.377778,0,0,0,0,0,0,0
0.5,0,0.471072,0.482938,0.081081,0.083333,0.668508,0.40625,1,1,0.037333,0,0,0,0,0,0,0,0,0,0
0.666667,0,1,1,0.175676,0.166667,0.475138,0.5625,0.546392,0.209302,0.704,0,0,0.377778,0,0,0,0,0,0,0
0.833333,0.5,0.680491,0.745174,0.27027,0.428571,0.104972,0.03125,0.412371,0.186047,0,0,0,0.903704,0,0,0,0,0,0,0
1,1,0.487539,0.690817,0.297297,0.297619,0.502762,0.375,1,0.604651,0,0,0,0.125926,0,0,0,0,0,0,0
