@relation 'en5_m03_DIEC_2013-16_Class4-class2_181p-numeric-Q3-weka.filters.unsupervised.attribute.Remove-R1-3,6-7,184-weka.filters.unsupervised.attribute.Remove-R177-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class2_callin_slo {0,1}

@data
1,1,124,296,2,11,17,49,72,107,4,250,7,15,26,2,2,1,53,97,19.2,25.5,1.5,17,60,0,0,0,0,0,0,0,0,0,18.9,25.1,7,1.3,47,57,0,0,0,10.4,0,0,0,0,0,0,20,26.9,14.4,4.1,33,63,0,0,0,9.7,1,0,0,0,0,0,18.2,25,1.1,43,66,0,0,0,1,0,0,0,0,0,20.3,25.7,13.3,1.7,23,57,1.9,0,0,10.3,1,0,0,0,0,0,19.5,24.5,6.3,1.7,27,54,0,0,0,13.6,1,0,0,0,0,0,18.8,25.3,6.8,1.3,43,61,0,0,0,11.4,1,0,0,0,0,0,20.7,26.7,16.5,1.3,47,68,0,0,0,8.8,1,0,0,0,0,0,19.9,25.4,9.6,0.8,50,54,0,0,0,9.1,1,0,0,0,0,0,18.2,24,10.9,1.6,60,64,0.4,0,0,6.3,0,0,0,0,0,0,0
2,1,160,296,1,11,38,49,72,103,4,250,7,15,73,2,2,1,53,97,21.3,28.3,0.9,10,62,0,0,0,0,0,0,0,0,0,20.7,28.1,8.1,1.4,20,56,0,0,0,13.4,0,0,0,0,0,0,20.6,27.3,12.2,3.6,23,61,0,0,0,13.1,1,0,0,0,0,0,20.9,27.6,0.8,10,62,0,0,0,1,0,0,0,0,0,22.5,29.3,10.3,1.4,13,57,0,0,0,14.8,1,0,0,0,0,0,21.1,27.7,8.8,1.8,27,61,0,0,0,11.9,1,1,0,0,0,0,21.2,27.3,10.1,1.7,30,61,0,0,0,13.9,1,0,0,0,0,0,20.8,28.7,12.6,1.6,20,63,0,0,0,12.1,1,0,0,0,0,0,21.9,28.5,10,0.8,30,57,0,0,0,14.1,1,0,0,0,0,0,19,26.7,8.8,1.5,37,61,0,0,0,10.7,0,0,0,0,0,0,0
3,1,173,296,1,11,38,57,72,99,4,250,7,14,73,2,2,1,53,97,22.3,29.8,1.7,53,70,0,0,0,0,0,0,0,0,0,19.7,29.5,9,1.2,60,69,0,0,0,9.4,1,0,1,0,1,0,22.7,28.5,13.2,2.7,60,63,0,0,0,8.3,1,1,0,0,0,0,19.3,28,1.5,67,74,0,0,0,1,1,1,0,0,0,22.9,29.5,11.6,1.3,53,56,0,0,0,11.2,1,1,0,0,0,0,21.5,29,8.8,1.6,53,66,0,0,0,10.6,1,0,1,0,0,0,21.7,28.6,10,1.8,27,62,0,0,0,11.4,1,1,0,0,0,0,22.1,29.6,11.8,1.7,53,62,0,0,0,8.9,1,1,0,0,0,0,21.2,29.2,11.3,1,53,71,0,0,0,8.9,0,0,1,0,0,0,19.4,27,8,1.5,43,63,0,0,0,10.5,0,0,0,0,0,0,0
4,1,150,330,1,11,38,57,72,86,4,16,7,11,73,2,2,1,53,97,22.4,29.6,1.6,40,63,0,0,0,0,0,0,0,0,0,20.9,28.7,10.3,1.6,60,67,26.6,0,0,11.9,0,0,0,0,0,0,24.1,30.9,18.1,2.6,40,64,0,0,0,10.4,1,0,0,0,0,0,19.8,27.8,1.5,47,76,1.5,0,0,0,0,1,0,0,0,22.6,28.5,12.5,1.5,50,65,0,0,0,10.6,0,0,0,0,0,0,22.8,28.5,11.2,3.9,53,56,0.1,0,0,13.3,0,0,0,0,0,0,23,29.1,12.9,3,37,59,0,0,0,12.5,0,0,0,0,0,0,23.6,31.8,18.1,1.7,37,61,0,0,0,8.3,0,0,0,0,0,0,22.2,28.6,12.3,1.3,43,57,0.4,0,0,11.9,0,0,0,0,0,0,21.1,27.5,13,2.6,30,52,0,0,0,11.4,0,0,0,0,0,0,0
5,1,124,380,2,11,17,57,72,86,4,16,7,11,26,2,2,1,60,109,23.1,30.3,2,30,61,0,0,0,0,0,0,0,0,0,20.7,28.2,11.8,1.8,73,72,0,0,0,6.4,0,0,1,0,0,0,24.2,30.9,14.6,2.6,17,64,0.1,0,0,10.2,0,0,0,0,0,0,20.5,27.4,0.6,60,71,9.2,0,0,0,0,0,0,0,0,23,29.6,13.8,1.6,57,64,0,0,0,8.5,1,0,0,0,0,0,22.1,29.6,11.8,2.7,50,63,0,0,0,11.9,1,0,0,0,0,0,24.2,29.8,13.5,3.6,47,56,0,0,0,13.2,0,0,0,0,0,0,24.6,32.4,15.4,0.7,37,62,0,0,0,9.1,0,0,1,0,0,0,22,29.5,11.6,1,60,66,0,0,0,11.1,0,0,1,0,0,0,22.2,28.3,12,2.6,50,55,0,0,0,9.5,0,0,0,0,0,0,0
6,2,124,330,4,11,17,49,72,86,4,16,7,11,26,2,2,1,47,86,20.2,27.1,2,80,84,0,0,0,1,0,1,0,0,0,20.4,26.5,13.3,1.6,77,77,12.6,0,0,3.5,0,0,0,0,0,0,27.6,31.6,16.9,3.6,33,44,0,0,0,12.2,1,0,0,0,0,0,20.6,28.5,1,67,73,0,0,0,0,0,1,0,0,0,22.4,27.8,12.9,2.1,43,68,0,0,0,8.3,1,0,0,0,0,0,21.2,26.1,16.4,3.6,73,67,0,0,0,3,0,0,1,0,0,0,23.8,28,18,4.3,73,64,0.1,0,0,9.2,0,0,0,0,0,0,24.9,31,16.5,2.2,43,54,2.4,0,0,9.7,0,0,0,0,0,0,20.3,26.2,13.7,1.7,67,76,0,0,0,4.5,1,0,1,0,0,0,21.7,27.1,15,2.7,50,59,0.9,0,0,7.9,0,0,0,0,0,0,1
7,3,124,250,4,13,17,49,72,86,4,16,7,11,19,2,2,1,35,65,22.6,27.6,2,77,79,11.8,0,0,1,0,1,0,0,0,20.3,27.6,14.5,0.8,63,82,8,0,0,4.3,0,0,1,0,0,0,26.9,31.5,21.7,3.2,63,52,0,0,0,8.8,1,0,0,0,0,0,21.2,27.8,1.5,73,74,0.8,0,0,0,0,1,0,0,0,22.8,27.7,15.9,1.5,67,71,0.1,0,0,6.1,0,0,0,0,0,0,21.9,27.5,16.3,3,57,74,13.8,0,0,8,0,0,0,0,0,0,23.6,28.4,16.9,2.5,63,66,12.1,0,0,10.8,0,0,0,0,0,0,26.1,30,19.4,2.5,70,50,0,0,0,4.9,0,0,0,0,0,0,21.4,26.7,15.4,1.3,73,79,4.2,0,0,4,0,0,0,0,0,0,21.5,26,16.5,2.9,73,69,0,0,0,4,0,0,0,0,0,0,0
1,1,124,250,4,13,17,49,72,86,4,16,10,11,19,2,2,1,53,97,22.4,28.6,2.2,33,75,6.8,0,0,0,0,0,0,0,0,21.2,27.9,14.6,1.8,37,73,0.7,0,0,11,0,0,0,0,0,0,25.9,32.4,21.6,2.9,37,53,0,0,0,6.8,1,0,0,0,0,0,22.7,28.1,2.8,50,65,1.4,0,0,0,0,0,0,0,0,24,29.2,15.5,1.8,47,61,0.6,0,0,13,0,0,0,0,0,0,21.7,27.7,17.1,2.2,33,62,0,0,0,11.1,0,0,0,0,0,0,22.5,28.5,16.7,2.4,30,59,0,0,0,12.1,0,0,0,0,0,0,25.9,31.7,19.5,2.5,43,51,0,0,0,7.6,0,0,0,0,0,0,22.5,27.5,16.3,1,37,70,5.5,0,0,8.9,0,0,1,0,0,0,21.2,26.6,15.2,1.8,60,67,0,0,0,4.7,0,0,0,0,0,0,0
2,1,124,250,2,13,17,49,72,86,4,16,10,11,19,2,2,1,53,97,23.3,29.1,1.4,40,71,0,0,0,0,0,0,0,0,0,21.1,28.7,11.8,1.5,23,70,0,0,0,12.7,0,0,0,0,0,0,24.6,31.4,16.1,2.7,20,62,0,0,0,13.4,0,0,0,0,0,0,21.2,28.2,1.8,37,68,0,0,0,0,0,0,0,0,0,23.9,29.2,13,1.7,20,60,0,0,0,13.2,0,0,0,0,0,0,21.8,28.2,12.5,1.2,37,64,0,0,0,12.6,1,0,0,0,0,0,22,29.4,14.2,1.2,27,65,0,0,0,12.1,0,0,0,0,0,0,26.5,32.7,21.5,2.5,30,45,0,0,0,12.9,0,0,0,0,0,0,22.7,28.3,14.7,1,20,71,0,0,0,10.6,1,0,0,0,0,0,21.6,28.1,15.5,1.7,20,61,0,0,0,11.9,0,0,0,0,0,0,0
3,1,124,296,2,11,17,49,72,86,4,16,10,11,19,2,2,1,53,97,23.3,29.8,1.7,33,69,0,0,0,0,0,1,0,0,0,21.6,29.6,12,0.8,30,70,0,0,0,10,0,0,0,0,0,0,24.4,30.5,15.6,2.6,13,65,0,0,0,13.8,0,0,0,0,0,0,21.2,28.9,0.8,43,70,0,0,0,1,0,1,0,0,0,22.6,29.5,14.5,1.1,30,51,0,0,0,9.9,0,0,0,0,0,0,22.2,28.5,12.2,0.4,43,66,0,0,0,9.6,0,0,0,0,0,0,22.8,29.3,12.9,1.4,57,67,0,0,0,9.5,0,0,0,0,0,0,24.2,33,17.9,0.9,33,65,0,0,0,10.5,0,0,0,0,0,0,22.9,29.4,14.3,1.2,17,67,0,0,0,10.2,0,0,0,0,0,0,21.3,29,12.8,2,27,63,0,0,0,9.6,0,0,0,0,0,0,1
