@relation 'en5_m03_DIEC_2013-16_Class4-class2_181p-numeric-Q4-weka.filters.unsupervised.attribute.Remove-R1-3,6-7,184-weka.filters.unsupervised.attribute.Remove-R177-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SMOTE-C2-K5-P950.0-S1'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class2_callin_slo {0,1}

@data
0.166667,0,0.10991,0.086184,0.035714,0.018663,0.076152,0.035839,0.057772,0.049231,0.015238,0.077333,0.039837,0.206406,0.07947,0.048077,0.023411,0.017467,0.714286,0.698113,0.804636,0.710098,0.318182,0.67,0.578947,0.013722,0,0,0,0,0,0,0,0,0.751497,0.695652,0.795511,0.12963,0.93,0.661538,0.035794,0,0,0.43617,0,0,0,0,0,0,0.707921,0.828194,0.533613,0.309524,0.27,0.585714,0.00989,0,0,0.98,1,0,0,0,0,0,0.731618,0.637931,0.188679,0.969072,0.84507,0.066055,0,0,0,0,0,0,0,0,0.714286,0.664336,0.743034,0.25641,0.896907,0.741935,0.010219,0,0,0.303371,0,0,0,0,0,0,0.725086,0.694352,0.793605,0.208333,0.63,0.408163,0.096831,0,0,0.68,0,0,0,0,0,0,0.707237,0.661342,0.736111,0.16,0.8,0.413043,0.209877,0,0,0.34,0,0,0,0,0,0,0.81592,0.811715,0.572581,0.596491,0.27,0.41791,0.022638,0,0,0.912621,0,0,0,0,0,0,0.771626,0.695793,0.790625,0.103448,0.73,0.630769,0.024809,0,0,0.680412,0,0,0,0,0,0,0.772358,0.743333,0.714286,0.158879,0.63,0.590909,0.001309,0,0,1,0,0,0,0,0,0,0
0.333333,0,0.10991,0.086184,0.035714,0.018663,0.076152,0.035839,0.057772,0.049231,0.015238,0.077333,0.039837,0.177936,0.07947,0.048077,0.023411,0.017467,0.714286,0.698113,0.728477,0.644951,0.242424,0.6,0.473684,0.006861,0,0,0,0,0,0,0,0,0.694611,0.655518,0.773067,0.185185,0.6,0.538462,0.008949,0,0,0.914894,0,0,0,0,0,0,0.589109,0.762115,0.579832,0.392857,0.13,0.528571,0,0,0,0.94,0,0,0,0,0,0,0.716912,0.655172,0.54717,0.659794,0.619718,0.036697,0,0,0,0,0,0,0,0,0.690476,0.632867,0.811146,0.410256,0.793814,0.419355,0.007299,0,0,0.58427,0,0,0,0,0,0,0.646048,0.61794,0.671512,0.166667,0.43,0.44898,0,0,0,0.8,1,0,0,0,0,0,0.608553,0.571885,0.627778,0.16,0.5,0.543478,0.002058,0,0,0.84,0,0,0,0,0,0,0.756219,0.740586,0.653226,0.842105,0.33,0.268657,0.029528,0,0,0.980583,1,0,0,0,0,0,0.702422,0.627832,0.80625,0.344828,0.77,0.446154,0,0,0,0.917526,0,0,0,0,0,0,0.686992,0.686667,0.648649,0.299065,0.37,0.484848,0.002618,0,0,0.875,0,0,0,0,0,0,0
0.5,0,0.10991,0.086184,0.035714,0.018663,0.076152,0.035839,0.057772,0.049231,0.015238,0.077333,0.039837,0.142349,0.07947,0.048077,0.023411,0.017467,0.714286,0.698113,0.60596,0.543974,0.287879,0.2,0.403509,0,0,0,0,0,0,0,0,0,0.57485,0.545151,0.610973,0.12963,0.73,0.615385,0,0,0,0.585106,0,0,0,0,0,0,0.554455,0.682819,0.436975,0.261905,0.27,0.471429,0,0,0,0.87,0,0,0,0,0,0,0.628676,0.503448,0.358491,0.927835,0.56338,0,0,0,0,0,0,0,0,0,0.59127,0.493007,0.708978,0.461538,0.762887,0.354839,0,0,0,0.123596,0,0,0,0,0,0,0.553265,0.524917,0.540698,0.125,0.4,0.367347,0,0,0,0.8,0,0,0,0,0,0,0.506579,0.523962,0.527778,0.053333,0.2,0.478261,0,0,0,0.88,0,0,0,0,0,0,0.61194,0.627615,0.673387,0.701754,0.2,0.238806,0,0,0,1,0,0,0,0,0,0,0.543253,0.527508,0.575,0.189655,0.37,0.6,0,0,0,0.360825,0,0,0,0,0,0,0.585366,0.583333,0.552124,0.196262,0.23,0.484848,0,0,0,0.989583,0,0,0,0,0,0,0
0.666667,0,0.10991,0.086184,0.010204,0.018663,0.076152,0.035839,0.057772,0.049231,0.015238,0.077333,0.039837,0.024911,0.000736,0.048077,0.023411,0.017467,0.964286,0.924528,0.543046,0.521173,0.181818,0.3,0.631579,0,0,0,0,0,0,0,0,0,0.520958,0.548495,0.573566,0.12963,0.47,0.630769,0,0,0,0.840426,0,0,0,0,0,0,0.579208,0.629956,0.441176,0.22619,0.77,0.471429,0,0,0,0.36,0,0,0,0,0,0,0.588235,0.558621,0.132075,0.618557,0.591549,0,0,0,0,0,0,0,0,0,0.551587,0.531469,0.510836,0.282051,0.515464,0.419355,0,0,0,1,0,0,0,0,0,0,0.505155,0.548173,0.514535,0.236111,0.2,0.469388,0,0,0,0.96,0,0,0,0,0,0,0.483553,0.546326,0.480556,0.106667,0.17,0.5,0,0,0,0.88,0,0,0,0,0,0,0.527363,0.644351,0.620968,0.403509,0.6,0.402985,0,0,0,0.621359,0,0,0,0,0,0,0.536332,0.533981,0.475,0.068966,0.73,0.6,0,0,0,0.670103,0,0,0,0,0,0,0.577236,0.59,0.486486,0.299065,0.47,0.439394,0,0,0,0.791667,0,0,0,0,0,0,0
0.833333,0.5,0.10991,0.020395,0.010204,0.018663,0.026052,0.015734,0.025447,0.015385,0.00381,0.077333,0.039837,0.024911,0.000736,0.048077,0.023411,0.017467,0.5,0.490566,0.582781,0.413681,0.212121,0.97,0.842105,0,0,0,0,0,0,0,0,0,0.592814,0.498328,0.610973,0.111111,0.93,0.8,0,0,0,0,0,0,0,0,0,0,0.653465,0.528634,0.621849,0.166667,1,0.842857,0,0,0,0,0,0,0,0,0,0,0.617647,0.458621,0.037736,0.927835,0.788732,0,0,0,0,0,0,0,0,0,0.559524,0.440559,0.619195,0.128205,0.969072,0.758065,0,0,0,0,0,0,0,0,0,0,0.549828,0.495017,0.526163,0.333333,0.93,0.653061,0,0,0,0,0,0,0,0,0,0,0.555921,0.456869,0.525,0.133333,0.8,0.630435,0,0,0,0.1,0,0,0,0,0,0,0.60199,0.527197,0.5,0.122807,1,0.865672,0,0,0,0,0,0,0,0,0,0,0.560554,0.398058,0.575,0.051724,1,0.892308,0,0,0,0,0,0,0,0,0,0,0.638211,0.513333,0.606178,0.17757,1,0.787879,0,0,0,0,0,0,0,0,0,0,0
1,1,0.10991,0.020395,0.010204,0.018663,0.026052,0.015734,0.025447,0.015385,0.00381,0.077333,0.039837,0.024911,0.000736,0.048077,0.023411,0.017467,0.071429,0.075472,0.735099,0.579805,0.015152,1,0.894737,0.008576,0,0,0,0,0,0,0,0,0.709581,0.615385,0.743142,0.092593,0.97,0.830769,0.006711,0,0,0,0,0,0,0,0,0,0.762376,0.682819,0.815126,0.083333,1,0.9,0.049451,0,0,0,0,0,0,0,0,0,0.761029,0.662069,0.113208,0.969072,0.830986,0,0,0,0,0,0,0,0,0,0.714286,0.618881,0.795666,0.282051,1,0.83871,0.00292,0,0,0,0,0,0,0,0,0,0.687285,0.584718,0.75,0.069444,0.97,0.77551,0,0,0,0,0,0,0,0,0,0,0.677632,0.514377,0.775,0.026667,1,0.891304,0.065844,0,0,0,0,0,0,0,0,0,0.830846,0.740586,0.798387,0.22807,0.97,0.776119,0.133858,0,0,0,0,0,0,0,0,0,0.698962,0.530744,0.7875,0,1,0.876923,0.038168,0,0,0,0,0,0,0,0,0,0.760163,0.626667,0.756757,0.17757,1,0.848485,0.125654,0,0,0,0,0,0,0,0,0,0
0,0,0.10991,0.020395,0.010204,0.018663,0.026052,0.015734,0.025447,0.015385,0.00381,0.077333,0.039837,0.024911,0.000736,0.048077,0.023411,0.017467,0.714286,0.698113,0.784768,0.697068,0.090909,0.87,0.684211,0.013722,0,0,0,0,0,0,0,0,0.760479,0.695652,0.877805,0.185185,0.97,0.707692,0.002237,0,0,0.031915,0,0,0,0,0,0,0.678218,0.757709,0.756303,0.083333,0.87,0.814286,0.176923,0,0,0.06,0,0,0,0,0,0,0.786765,0.648276,0.150943,1,0.873239,0,0,0,0,0,0,0,0,0,0.753968,0.632867,0.879257,0.25641,0.969072,0.774194,0.00292,0,0,0,0,0,0,0,0,0,0.745704,0.707641,0.866279,0.25,0.93,0.632653,0.007042,0,0,0.4,0,0,0,0,0,0,0.743421,0.709265,0.863889,0.08,0.77,0.565217,0.150206,0,0,0.58,0,0,0,0,0,0,0.850746,0.748954,0.854839,0.491228,0.93,0.402985,0.001969,0,0,0.019417,0,0,0,0,0,0,0.750865,0.605178,0.875,0.051724,1,0.8,0.013359,0,0,0,0,0,0,0,0,0,0.756098,0.61,0.760618,0.383178,0.93,0.621212,0.017016,0,0,0,0,0,0,0,0,0,1
0.166667,0,0.10991,0.020395,0.010204,0.018663,0.026052,0.015734,0.025447,0.015385,0.00381,0.077333,0.039837,0.074733,0.07947,0.048077,0.023411,0.017467,0.714286,0.698113,0.844371,0.726384,0.121212,0.97,0.631579,0.008576,0,0,0,0,0,0,0,0,0.781437,0.749164,0.895262,0.166667,0.93,0.692308,0.035794,0,0,0.170213,0,0,0,0,0,0,0.712871,0.599119,0.739496,0.214286,0.97,0.828571,0.020879,0,0,0,0,0,0,0,0,0,0.816176,0.710345,0.018868,0.969072,0.746479,0.00367,0,0,0,0,0,0,0,0,0.785714,0.716783,0.866873,0.102564,1,0.725806,0,0,0,0.123596,0,0,0,0,0,0,0.783505,0.760797,0.837209,0.152778,0.83,0.489796,0,0,0,0.44,1,0,0,0,0,0,0.769737,0.763578,0.705556,0.12,0.67,0.521739,0,0,0,0.74,0,0,0,0,0,0,0.78607,0.732218,0.834677,0.315789,0.8,0.61194,0.014764,0,0,0,0,0,0,0,0,0,0.809689,0.705502,0.88125,0.12069,0.93,0.676923,0.015267,0,0,0.175258,0,0,0,0,0,0,0.784553,0.683333,0.787645,0.280374,0.97,0.69697,0.022251,0,0,0.041667,0,0,0,0,0,0,0
0.333333,0,0.048649,0.086184,0.010204,0.00311,0.026052,0.015734,0.025447,0.015385,0.00381,0.077333,0.039837,0.074733,0.07947,0.048077,0.023411,0,0.714286,0.698113,0.781457,0.612378,0.121212,0.97,0.947368,0,0,0,0,0,0,0,0,0,0.742515,0.672241,0.770574,0.037037,0.97,0.846154,0,0,0,0,0,0,0,0,0,0,0.732673,0.77533,0.781513,0.404762,0.9,0.857143,0.218681,0,0,0.21,0,0,0,0,0,0,0.797794,0.668966,0.056604,0.969072,0.84507,0,0,0,0,0,0,0,0,0,0.77381,0.646853,0.835913,0.128205,1,0.774194,0.010949,0,0,0,0,0,0,0,0,0,0.756014,0.72093,0.755814,0.25,0.93,0.693878,0.007042,0,0,0.03,0,0,0,0,0,0,0.769737,0.686901,0.797222,0.093333,0.93,0.695652,0,0,0,0.09,0,0,0,0,0,0,0.800995,0.828452,0.741935,0.122807,0.8,0.80597,0.031496,0,0,0.242718,0,0,0,0,0,0,0.771626,0.621359,0.825,0.017241,1,0.846154,0.013359,0,0,0,0,0,0,0,0,0,0.804878,0.726667,0.830116,0.224299,0.97,0.757576,0.062827,0,0,0.052083,0,0,0,0,0,0,0
0.5,0,0.048649,0.086184,0.010204,0.00311,0.026052,0.015734,0.025447,0.015385,0.00381,0.077333,0.039837,0.074733,0.07947,0.048077,0.023411,0,0.714286,0.698113,0.844371,0.687296,0.090909,0.93,0.894737,0.147513,0,0,0,0,0,0,0,0,0.802395,0.769231,0.822943,0.240741,0.93,0.8,0.006711,0,0,0.255319,0,0,0,0,0,0,0.881188,0.77533,0.768908,0.464286,0.93,0.771429,0.042857,0,0,0.16,1,0,0,0,0,0,0.856618,0.689655,0.339623,1,0.859155,0.036697,0,0,0,0,0,0,0,0,0.825397,0.72028,0.904025,0.307692,0.927835,0.725806,0.00365,0,0,0.134831,0,0,1,0,0,0,0.786942,0.76412,0.828488,0.361111,0.97,0.77551,0.007042,0,0,0.31,1,0,0,0,0,0,0.832237,0.769968,0.883333,0.24,0.87,0.652174,0,0,0,0.4,0,0,0,0,0,0,0.885572,0.753138,0.870968,0.596491,1,0.80597,0.069882,0,0,0.009709,1,0,0,0,0,0,0.771626,0.660194,0.875,0.12069,1,0.892308,0.01145,0,0,0,0,0,0,0,0,0,0.865854,0.743333,0.833977,0.271028,1,0.848485,0.001309,0,0,0.020833,0,0,0,0,0,0,0
