@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
7,3,272.668,132.89,10.5,16.6,6.1,2.2,77,59,8.3,0,0,5.2,1,0,0,0,0,0,0
1,1,190.218,113.164,10.7,17,-2.6,2.2,37,55,0,0,0,10.8,1,0,0,0,0,0,0
2,1,148.788,104.851,12.7,17.6,6.1,0.2,63,53,0,0,0,9.9,1,0,0,0,0,0,0
3,1,141.234,98.056,11.2,14.8,6.4,1.4,93,79,0,0,0,1.2,0,0,0,0,0,0,0
4,1,148.59,91.086,11.1,17,6.3,2.2,80,88,5.1,0,0,2.9,0,0,1,0,0,0,0
5,1,156.512,88.868,11.5,18,5.5,1.7,47,64,25.8,0,0,7.9,0,0,0,0,0,0,0
6,2,134.498,82.062,11.2,17.8,1.6,1.7,20,57,0,0,0,11.7,0,0,0,0,0,0,0
7,3,127.785,77.256,14.4,22.1,0.7,1.3,20,57,0,0,0,11.4,0,0,0,0,0,0,0
1,1,121.385,74.731,12.7,21.2,0.8,2.3,83,73,0,0,0,5.9,1,0,0,0,0,0,0
2,1,130.397,71.247,13,17.3,10.5,2.1,93,76,5.1,0,0,4,1,0,0,0,0,0,0
3,1,142.254,66.546,15.7,19.6,11,1.1,87,61,3.2,0,0,5.2,0,0,0,0,0,0,0
4,1,189.3,71.67,11.7,16.2,9.5,1.3,97,95,1.4,0,0,0.1,0,0,0,0,0,0,0
5,1,349.452,134.46,13.1,17.6,6,1.8,53,61,26.4,0,0,5.2,0,0,0,0,0,0,0
6,2,252.709,103.515,14.5,22,-0.7,0.1,40,60,0,0,0,12.3,0,0,0,0,0,0,0
7,3,194.286,96.914,14.9,19.8,6.5,1.2,97,78,0,0,0,1.8,0,0,0,0,0,0,0
1,1,215.58,88.244,15.6,21.7,13.2,1.4,93,85,9.5,0,0,2.4,0,0,1,0,0,0,0
2,1,226.863,95.499,15.9,21.2,12.2,1.1,63,70,16.7,0,0,4.7,0,0,0,0,0,0,0
3,1,199.96,89.492,16.9,23.2,4,2,20,57,0.1,0,0,12.3,1,0,0,0,0,0,0
4,1,186.261,73.891,17.4,25.5,2.2,1.1,0,55,0,0,0,12.9,0,0,0,0,0,0,0
5,1,173.817,68.705,18.1,27,7.3,0.8,3,58,0,0,0,13.1,0,0,0,0,0,0,0
6,2,165.22,61.915,19,27.6,3,1.7,3,54,0,0,0,13.2,0,0,0,0,0,0,0
7,3,166.861,56.423,18.5,26.4,4,2.4,7,52,0,0,0,13.2,1,0,0,0,0,0,0
1,1,167.938,50.837,19.4,27,4,2.2,40,54,0,0,0,11.8,1,0,0,0,0,0,0
2,1,163.182,47.396,18.2,25.2,4.5,1.3,37,65,0,0,0,8.4,0,0,0,0,0,0,0
3,1,148.734,42.259,19,25.7,4.5,2.6,20,61,0,0,0,12.4,1,0,0,0,0,0,0
4,1,143.156,40.03,16.3,25,5.9,2.4,73,66,0,0,0,6.2,1,0,0,0,0,0,0
5,1,158.789,37.716,15.4,21.3,9.5,1.7,60,68,0.5,0,0,9.8,0,0,0,0,0,0,0
6,2,139.891,33.398,19,27.9,3.5,1.1,30,59,0,0,0,11.8,0,0,0,0,0,0,0
7,3,130.997,32.872,19.4,27.2,4.9,0.9,40,64,0,0,0,9,0,0,1,0,0,0,0
1,1,133.366,30.611,17.7,22.2,7.4,1.9,40,59,0.1,0,0,10.7,1,0,0,0,0,0,1
2,1,130.925,28.569,16.4,21,5.1,1.3,83,54,0,0,0,6.3,0,0,0,0,0,0,0
3,1,124.663,26.051,18.6,26,10.6,0.9,63,63,0,0,0,7.2,0,0,1,0,0,0,0
4,1,109.988,26.761,20.4,25.5,8.4,3.2,77,64,8.7,0,0,8.4,1,0,0,0,0,0,0
5,1,126.053,29.499,16.3,21.8,14,1.9,87,89,0,0,0,1.1,0,0,1,0,0,0,1
6,2,160.341,35.809,18.3,22.3,11.6,1.8,47,79,37.5,0,0,4.9,0,0,0,0,0,0,1
7,3,132.503,29.7,18.9,25.1,9.3,1.5,63,65,0,0,0,8.6,0,0,0,0,0,0,0
1,1,123.822,26.815,18.8,24.8,8.4,1.4,37,59,0,0,0,12,0,0,0,0,0,0,0
2,1,118.455,23.899,15.8,24,5.7,3.2,53,73,0,0,0,11.5,0,0,1,0,0,0,0
3,1,125.324,27.968,16.9,21.3,10.9,1.3,77,72,15.2,0,0,6.8,0,0,0,0,0,0,0
4,1,123.587,24.873,17.4,23.7,9,1.4,70,75,0,0,0,4.4,0,0,0,0,0,0,0
5,1,113.554,24.347,16.8,21.7,10,0.9,63,87,0,0,0,4.8,0,0,0,0,0,0,0
6,2,94.824,24.033,17.6,25,8.4,1.3,60,80,10.3,0,0,6,0,0,1,0,0,0,0
7,3,101.543,23.53,17.3,22.7,11,0.7,77,76,9.3,0,0,7.1,0,0,0,0,0,0,0
1,1,106.106,23.002,14.8,19.5,10,1,93,94,2.7,0,0,0.6,0,0,0,0,0,0,0
2,1,131.326,62.16,12.7,17.5,10,2.4,80,78,20.1,0,0,2.5,1,0,0,0,0,0,0
3,1,144.184,46.457,14,20.1,3.7,2.1,60,71,4.1,0,0,7.7,0,0,0,0,0,0,0
4,1,116.451,38.723,15.2,19.5,9.5,2.2,70,77,4.5,0,0,3.5,0,0,0,0,0,0,0
5,1,103.413,30.789,15.6,22.2,8,1,73,77,1.1,0,0,8.2,0,0,1,0,0,0,0
6,2,102.704,31.738,14.8,22.1,5.9,0,73,81,1,0,0,8.9,0,0,1,0,0,0,0
7,3,92.319,27.992,17.2,22.5,6.9,1.3,73,71,1,0,0,6.9,0,0,0,0,0,0,0
1,1,91.354,24.498,19.2,24,7.8,1.7,60,65,0,0,0,10.6,0,0,0,0,0,0,0
2,1,91.545,23.499,17.4,21.1,8.6,0.5,77,89,0,0,0,3.6,0,0,0,0,0,0,0
3,1,92.826,22.523,19.4,23.5,11.2,1,90,82,6.9,0,0,3,0,0,0,0,0,0,0
4,1,93.804,20.252,19.7,24.5,13,0.6,73,80,0,0,0,3.8,0,0,0,0,0,0,0
5,1,96.54,20.521,20,26,10.6,1.3,53,74,0,0,0,8,0,0,0,0,0,0,0
6,2,94.741,20.265,21.6,26.6,13.1,1.1,37,72,0,0,0,9.8,0,0,0,0,0,0,0
7,3,83.11,19,20,27.8,13.3,1.2,63,74,0,0,0,8.9,1,0,1,0,0,0,0
1,1,92.677,18.055,23,28.5,10.6,0.6,67,67,0.3,0,0,9.6,1,0,0,0,0,0,0
2,1,130.766,19.18,19.7,27.6,12.3,0.7,67,83,0,0,0,4.1,0,0,1,0,0,0,0
3,1,127.128,28.606,21.6,28.1,13.8,0.9,60,78,8.5,0,0,5.7,0,0,0,0,0,0,0
4,1,115.706,23.831,23.4,29,12.5,1.5,70,65,0,0,0,6.2,0,0,0,0,0,0,1
5,1,126.29,19.037,22.9,28.4,12.2,1.2,37,62,0,0,0,11.6,0,0,0,0,0,0,1
6,2,106.401,17.98,20.6,29.4,11,1,37,66,0,0,0,10.6,0,0,1,0,1,0,1
7,3,82.902,16.956,23.1,29,10,0.8,23,60,4,0,0,13.6,0,0,0,0,0,0,0
1,1,87.345,15.111,23.6,30.2,11.7,1.3,37,57,0,0,0,13,0,0,0,0,0,0,0
2,1,82.017,18.102,17.6,28.2,12,1.6,63,87,0,0,0,6.6,1,0,1,0,0,0,0
3,1,79.998,18.59,21.6,27.6,12.5,2.1,73,69,13.8,0,0,9,0,0,0,0,0,0,0
4,1,78.093,18.085,21.3,27.3,12,0.9,63,74,0,0,0,4.8,0,0,0,0,0,0,0
5,1,72.027,16.415,20.4,26.2,12.6,1.5,97,78,0,0,0,3.4,0,0,1,0,0,0,1
6,2,78.614,17.684,21.8,27.2,15.3,1.4,70,75,9.9,0,0,9.1,0,0,1,0,0,0,1
7,3,78.235,16.913,24.2,30.3,14.2,0.8,60,66,0,0,0,10,0,0,0,0,0,0,0
1,1,75.197,16.472,25.2,31.5,15.5,1.8,73,64,0,0,0,9.8,0,0,0,0,0,0,0
2,1,69.658,15.201,22.8,30.7,14.9,1.4,50,68,0,0,0,7.4,1,0,0,0,0,0,1
3,1,77.533,16.385,19.1,23.9,12.2,1.5,70,77,1.7,0,0,5.9,0,0,1,0,0,0,0
4,1,82.283,16.693,18.8,23.6,15.3,1.5,83,64,0.3,0,0,3.7,0,0,0,0,0,0,0
5,1,70.987,16.371,20.1,24.9,14,1.6,73,56,0,0,0,6.6,0,0,0,0,0,0,0
6,2,68.822,16.001,21,27,8.9,1,33,57,0,0,0,11.2,0,0,0,0,0,0,1
7,3,61.65,15.031,20.3,26,10.6,0.9,70,68,0,0,0,3.9,0,0,0,0,0,0,0
1,1,67.94,14.054,23.1,29.2,10,0.7,50,57,0,0,0,11.2,0,0,0,0,0,0,0
2,1,60.769,13.823,23.4,28.8,8.8,0.6,33,53,0,0,0,12.2,0,0,0,0,0,0,0
3,1,55.486,13.427,24.4,30,10.6,0.5,23,58,0,0,0,13.6,0,0,0,0,0,0,0
4,1,60.405,13.024,25.3,31.6,12.1,2.2,47,57,0,0,0,12.7,1,0,0,0,0,0,1
5,1,84.462,35.321,14.8,24.8,15.5,3.2,67,84,22.7,0,0,1.8,0,0,0,0,0,0,0
6,2,75.609,34.118,17.1,22.1,7.2,1,77,60,15.9,0,0,9.6,0,0,0,0,0,0,0
