@relation 'model-2018, 4, y 2018 class2 SLO-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class2_callin_slo {0,1}

@data
1,1,0.334099,0.237893,0.183727,0.070577,0.138243,0.156304,0.159956,0.140887,0.060149,0.077245,0.155525,0.07236,0.017319,0.073669,0.022446,0.055886,0.296296,0.44,0.567708,0.324468,0.25,0.73,0.027027,0.20442,0,0,0,0,0,0,0,0,0.629032,0.387978,0.8,0.391304,0.587629,0,0.033735,0,0,0.230769,0,0,0,0,0,0,0.651429,0.518987,0.641593,0.428571,0.462366,0.444444,0.008757,0,0,0.233083,0,0,1,0,0,0,0.601036,0.346369,0.545455,0.87,0.076923,0.011853,0,0,0,0,0,0,0,0,0.513369,0.341837,0.888298,0.47619,0.793814,0.046512,0.00111,0,0,0.230769,0,0,0,0,0,0,0.507853,0.385417,0.618605,0.153846,0.587629,0.06383,0.008174,0,0,0.544118,0,0,0,0,0,0,0.46875,0.403141,0.538813,0.3125,0.57,0.078947,0,0,0,0.857143,0,0,0,0,0,0,0.662983,0.350877,0.834197,0.689655,0.77,0.122449,0,0,0,0.347826,1,0,0,0,0,0,0.56383,0.428571,0.730392,0.130435,0.7,0.117647,0.478516,0,0,0.381295,0,0,0,0,0,0,0.536585,0.352273,0.627778,0.603774,0.87,0.171429,0.04,0,0,0.276596,1,0,0,0,0,0,0
0,0,0.27732,0.384018,0.096595,0.047651,0.202564,0.152058,0.148955,0.147886,0.055545,0.057596,0.13796,0.067905,0.178935,0.061406,0.019963,0.057686,0.333333,0.24,0.703125,0.478723,0.4,0.83,0.108108,0,0,0,0,0,0,0,0,0,0.698925,0.508197,0.663158,0.434783,0.896907,0.30303,0,0,0,0.346154,0,0,0,0,0,0,0.6,0.43038,0.685841,0.265306,0.677419,0.666667,0,0,0,0.398496,0,0,0,0,0,0,0.626943,0.418994,0.030303,0.83,0.384615,0,0,0,0,0,0,0,0,0,0.631016,0.438776,0.893617,0.190476,0.793814,0.325581,0,0,0,0.125874,0,0,0,0,0,0,0.60733,0.510417,0.562791,0.403846,0.896907,0.382979,0,0,0,0.301471,0,0,0,0,0,0,0.609375,0.439791,0.497717,0.5,0.67,0.131579,0,0,0,0.478571,0,0,0,0,0,0,0.690608,0.48538,0.891192,0.224138,0.93,0.408163,0,0,0,0.188406,0,0,0,0,0,0,0.696809,0.502646,0.764706,0.217391,0.93,0.352941,0,0,0,0.338129,0,0,0,0,0,0,0.719512,0.443182,0.805556,0.188679,1,0.4,0,0,0,0.432624,0,0,0,0,0,0,0
0.166667,0,0.254048,0.542434,0.081718,0.035123,0.149119,0.146952,0.150199,0.125694,0.053116,0.041805,0.117696,0.071518,0.146337,0.053565,0.027353,0.05025,0.37037,0.28,0.838542,0.611702,0.55,0.7,0.162162,0,0,0,0,0,0,0,0,0,0.795699,0.68306,0.968421,0.695652,0.721649,0.30303,0,0,0,0.446154,0,0,1,0,0,0,0.68,0.537975,0.637168,0.306122,0.505376,0.796296,0,0,0,0.601504,0,0,0,0,0,0,0.761658,0.703911,0.515152,0.83,0.307692,0,0,0,0,0,1,0,0,0,0.625668,0.622449,0.962766,0.333333,0.762887,0.627907,0,0,0,0.265734,0,0,1,0,0,0,0.743455,0.630208,0.855814,0.307692,0.721649,0.404255,0,0,0,0.397059,0,0,0,0,0,0,0.723958,0.612565,0.863014,0.46875,0.6,0.289474,0,0,0,0.542857,0,0,0,0,0,0,0.823204,0.631579,0.865285,0.12069,0.93,0.510204,0,0,0,0.391304,0,0,0,0,0,0,0.819149,0.650794,0.960784,0.434783,0.8,0.411765,0,0,0,0.316547,0,0,1,0,0,0,0.713415,0.607955,0.988889,0.264151,0.97,0.657143,0,0,0,0.624113,0,0,1,0,0,0,0
0.333333,0,0.244629,0.457348,0.209837,0.083686,0.143055,0.150176,0.252926,0.265699,0.078101,0.341957,0.119014,0.209621,0.361975,0.158324,0.280427,0.128992,0.407407,0.2,0.755208,0.632979,0.4,0.53,0.594595,1,0,0,0,0,1,0,0,0,0.774194,0.721311,0.910526,0.217391,0.587629,0.606061,0.320482,0,0,0.630769,0,0,1,0,0,0,0.748571,0.658228,0.690265,0.183673,0.290323,0.703704,0,0,0,0.706767,0,0,0,0,0,0,0.735751,0.631285,0.212121,0.43,0.589744,0.06681,0,0,0,0,1,0,0,0,0.71123,0.673469,0.930851,0.095238,0.484536,0.55814,0.341842,0,0,0.405594,0,0,0,0,0,0,0.743455,0.692708,0.869767,0.365385,0.587629,0.574468,0.33515,0,0,0.727941,0,0,0,0,0,0,0.6875,0.628272,0.894977,0.5625,0.37,0.605263,0.223744,0,0,0.764286,0,0,0,0,0,0,0.734807,0.678363,0.740933,0.103448,0.33,0.632653,0.02,0,0,0.710145,0,0,0,0,0,0,0.797872,0.68254,0.921569,0.217391,0.63,0.529412,0.757812,0,0,0.705036,0,0,1,0,0,0,0.780488,0.670455,0.894444,0.264151,0.53,0.542857,0.307368,0,0,0.723404,0,0,0,0,0,0,0
0.5,0,0.229375,0.516229,0.142893,0.061313,0.196603,0.145092,0.192635,0.310403,0.055915,0.341545,0.106672,0.112396,0.26236,0.114515,0.069302,0.145977,0.592593,0.5,0.744792,0.755319,0.15,0.3,0.405405,0,0,0,0,0,1,0,0,0,0.827957,0.808743,0.784211,0.608696,0.618557,0.363636,0,0,0,0.776923,1,1,1,0,0,0,0.8,0.639241,0.632743,0.367347,0.462366,0.703704,0,0,0,0.902256,1,0,0,0,0,0,0.792746,0.832402,0.424242,0.5,0.333333,0,0,0,0,0,0,0,0,0,0.807487,0.780612,0.81383,0.47619,0.381443,0.325581,0,0,0,0.545455,0,0,0,0,0,0,0.774869,0.822917,0.711628,0.480769,0.618557,0.404255,0,0,0,0.735294,1,0,1,0,0,0,0.729167,0.769634,0.666667,0.34375,0.3,0.473684,0,0,0,0.792857,1,0,1,0,0,0,0.767956,0.660819,0.699482,0.224138,0.6,0.571429,0.014545,0,0,0.594203,1,0,1,0,0,0,0.765957,0.846561,0.794118,0.434783,0.63,0.470588,0,0,0,0.697842,1,0,1,0,0,0,0.792683,0.6875,0.75,0.396226,0.9,0.657143,0,0,0,0.907801,0,0,0,0,0,0,0
0.666667,0,0.362986,0.452172,0.200577,0.084958,0.145877,0.13765,0.190306,0.220953,0.04923,0.211566,0.111059,0.121203,0.129269,0.217861,0.062893,1,0.62963,0.38,0.651042,0.398936,0.425,0.63,0.567568,0.041436,0,0,1,0,0,0,0,0,0.693548,0.486339,0.884211,0.391304,1,0.666667,0,0,0,0.130769,0,0,0,0,0,0,0.6,0.56962,0.557522,0.387755,0.462366,0.851852,0.222417,0,0,0.827068,0,0,1,0,0,0,0.689119,0.541899,0.363636,0.9,0.641026,0,0,0,0,0,0,0,0,0,0.647059,0.489796,0.898936,0.238095,0.721649,0.511628,0.015538,0,0,0.160839,0,0,0,0,0,0,0.570681,0.416667,0.865116,0.519231,1,0.829787,0.00545,0,0,0.014706,0,0,0,0,0,0,0.588542,0.314136,0.853881,0.71875,0.93,0.973684,0.60274,0,0,0.028571,0,0,0,0,0,0,0.646409,0.555556,0.678756,0.051724,0.77,0.734694,0.081818,0,0,0.42029,0,0,1,0,0,0,0.659574,0.497354,0.843137,0.26087,0.63,0.735294,0.121094,0,0,0.266187,0,0,0,0,0,0,0.719512,0.551136,0.733333,0.490566,0.77,0.657143,0.684211,0,0,0.836879,0,0,1,0,0,0,0
0.833333,0.5,0.346875,0.610482,0.196782,0.050075,0.153055,0.124499,0.167288,0.229835,0.04259,0.168561,0.113245,0.113143,0.0977,0.126094,0.04339,0.277943,0.444444,0.24,0.765625,0.56383,0.4,0.57,0.27027,0.040055,0,0,0,0,0,0,0,0,0.741935,0.715847,0.905263,0.26087,0.484536,0.181818,0.004819,0,0,0.738462,0,0,0,0,0,0,0.685714,0.56962,0.579646,0.469388,0.397849,0.685185,0,0,0,0.827068,0,0,0,0,0,0,0.73057,0.75419,0.30303,0.57,0.333333,0,0,0,0,0,0,0,0,0,0.737968,0.683673,0.904255,0.285714,0.484536,0.255814,0,0,0,0.776224,0,0,0,0,0,0,0.659686,0.651042,0.809302,0.653846,0.484536,0.319149,0.370572,0,0,0.823529,0,0,0,0,0,0,0.703125,0.638743,0.849315,0.71875,0.2,0.105263,0.420091,0,0,0.85,0,0,0,0,0,0,0.762431,0.625731,0.694301,0.155172,0.33,0.612245,0.314545,0,0,0.724638,0,0,0,0,0,0,0.728723,0.624339,0.867647,0.347826,0.5,0.441176,0.007813,0,0,0.798561,1,0,0,0,0,0,0.743902,0.670455,0.75,0.245283,0.4,0.428571,0,0,0,0.836879,0,0,0,0,0,0,0
1,1,0.265285,0.365469,0.107625,0.039566,0.159301,0.116269,0.162069,0.140249,0.042174,0.11187,0.119014,0.097954,0.079211,0.091949,0.031124,0.173294,0.240741,0.32,0.682292,0.590426,0.35,0.47,0.135135,0,0,0,0,0,0,0,0,0,0.607527,0.639344,0.589474,0.652174,0.587629,0.484848,0,0,0,0.584615,0,0,1,0,0,0,0.525714,0.575949,0.522124,0.265306,0.397849,0.648148,0,0,0,0.669173,0,0,0,0,0,0,0.658031,0.608939,0.424242,0.63,0.282051,0,0,0,0,0,1,0,0,0,0.59893,0.617347,0.670213,0.428571,0.659794,0.348837,0,0,0,0.671329,0,0,0,0,0,0,0.680628,0.614583,0.52093,0.211538,0.587629,0.234043,0,0,0,0.786765,0,0,0,0,0,0,0.697917,0.623037,0.56621,0.5,0.6,0.210526,0,0,0,0.814286,0,0,0,0,0,0,0.585635,0.549708,0.611399,0.137931,0.33,0.714286,0,0,0,0.688406,0,0,1,0,0,0,0.680851,0.619048,0.686275,0.434783,0.6,0.294118,0.015625,0,0,0.661871,1,0,1,0,0,0,0.603659,0.5625,0.583333,0.188679,0.7,0.628571,0,0,0,0.687943,0,0,1,0,0,0,0
0,0,0.217463,0.314676,0.085311,0.042055,0.156218,0.12761,0.14413,0.123564,0.038449,0.091451,0.098027,0.089443,0.090943,0.091858,0.027997,0.231606,0.481481,0.16,0.666667,0.62766,0.5,0.23,0.189189,0,0,0,0,0,0,0,0,0,0.666667,0.661202,0.673684,0.26087,0.278351,0.333333,0.137349,0,0,0.692308,0,0,0,0,0,0,0.622857,0.56962,0.526549,0.489796,0.505376,0.62963,0.014011,0,0,0.75188,0,0,0,0,0,0,0.647668,0.670391,0.424242,0.7,0.384615,0.042026,0,0,0,0,0,0,0,0,0.68984,0.642857,0.829787,0.52381,0.556701,0.139535,0.022198,0,0,0.643357,0,0,0,0,0,0,0.675393,0.645833,0.604651,0.653846,0.278351,0.255319,0,0,0,0.955882,0,0,0,0,0,0,0.708333,0.675393,0.607306,0.59375,0.03,0.184211,0,0,0,0.857143,0,0,0,0,0,0,0.679558,0.555556,0.678756,0.155172,0.9,0.612245,0.050909,0,0,0.601449,0,0,0,0,0,0,0.680851,0.666667,0.656863,0.217391,0.27,0.323529,0.132813,0,0,0.76259,0,0,0,0,0,0,0.682927,0.613636,0.766667,0.150943,0.6,0.428571,0.113684,0,0,0.765957,0,0,0,0,0,0,0
0.166667,0,0.193743,0.400085,0.074685,0.017644,0.143419,0.118535,0.135853,0.13504,0.034054,0.065482,0.083499,0.063328,0.11726,0.072347,0.024593,0.119051,0.277778,0.22,0.734375,0.696809,0.3,0.27,0.162162,0,0,0,0,0,0,0,0,0,0.741935,0.73224,0.631579,0.434783,0.649485,0.363636,0,0,0,0.653846,0,0,0,0,0,0,0.702857,0.620253,0.557522,0.285714,0.537634,0.537037,0,0,0,0.804511,0,0,0,0,0,0,0.73057,0.675978,0.666667,0.67,0.307692,0,0,0,0,0,1,0,0,0,0.716578,0.69898,0.675532,0.238095,0.618557,0.255814,0,0,0,0.636364,0,0,0,0,0,0,0.73822,0.713542,0.567442,0.615385,0.649485,0.340426,0,0,0,0.522059,0,0,0,0,0,0,0.765625,0.680628,0.625571,0.6875,0.37,0.157895,0,0,0,0.714286,0,0,0,0,0,0,0.790055,0.596491,0.632124,0.362069,0.1,0.428571,0,0,0,0.731884,0,0,0,0,0,0,0.760638,0.798942,0.651961,0.434783,0.57,0.235294,0,0,0,0.719424,0,0,0,0,0,0,0.719512,0.642045,0.605556,0.301887,0.57,0.514286,0,0,0,0.815603,0,0,0,0,0,0,0
