@relation 'en5_m03_DIEC_2013-16_Class4-class2_181p-numeric-Q2-weka.filters.unsupervised.attribute.Remove-R1-3,6-7,184-weka.filters.unsupervised.attribute.Remove-R3-7,9-13,15-80,97-176-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class4_callin_slo {1,2,3,4}

@data
0,0,0.263499,1,0.015326,0,0.303167,0.25,1,0.833333,0.174779,0,0,0,0,0,0,0,0,0,2
0.166667,0,0.263499,0.859091,0,0.044304,0.248869,0.458333,1,0.883333,0.039823,0,0,0,0,0,0,0,0,0,3
0.333333,0,0.263499,0.722727,0.065134,0.088608,0.262443,0.270833,1,0.816667,0.099558,0,0,0,0,0,0,0,0,0,3
0.5,0,0.263499,0.540909,0.176245,0.177215,0.334842,0.1875,0.93,0.616667,0.006637,0,0,0.068027,0,0,0,0,0,0,3
0.666667,0,0.12311,0.540909,0.149425,0.14557,0.38914,0.1875,1,0.916667,0.022124,0,0,0,0,0,0,0,0,0,3
0.833333,0.5,0.12311,0.540909,0.180077,0.136076,0.438914,0.229167,1,0.8,0.111726,0,0,0,0,0,0,0,0,0,3
1,1,0.12311,0.540909,0.176245,0.161392,0.452489,0.666667,0.93,0.3,0.011062,0,0,0.081633,1,0,0,0,0,0,2
0,0,0.12311,0.540909,0.206897,0.208861,0.316742,0.333333,0.87,0.25,0,0,0,0.272109,0,0,0,0,0,0,3
0.166667,0,0.263499,0.540909,0.287356,0.335443,0.443439,0.020833,0.8,0.416667,0.001106,0,0,0.285714,1,0,0,0,0,0,3
0.333333,0,0.263499,0.540909,0.333333,0.386076,0.239819,0.479167,0.23,0.416667,0.005531,0,0,0.755102,0,0,0,0,0,0,3
0.5,0,0.263499,0.540909,0.371648,0.433544,0.325792,0.604167,0.83,0.383333,0,0,0,0.401361,1,0,0,0,0,0,3
0.666667,0,0.356371,0.540909,0.367816,0.294304,0.633484,0.208333,0.97,0.9,0,0,0,0.020408,0,0,1,0,0,0,3
0.833333,0.5,0.451404,0.540909,0.37931,0.439873,0.493213,0.25,0.57,0.6,0.228982,0,0,0.482993,0,0,1,0,0,0,3
1,1,0.356371,0.540909,0.536398,0.575949,0.239819,0.166667,0.13,0.25,0.034292,0,0,0.768707,0,0,0,0,0,0,3
0,0,0.263499,0.540909,0.551724,0.579114,0.40724,0.395833,0.37,0.2,0,0,0,0.734694,0,0,0,0,0,0,3
0.166667,0,0.263499,0.540909,0.509579,0.509494,0.520362,0.166667,0.7,0.116667,0,0,0,0.455782,0,0,0,0,0,0,3
0.333333,0,0.263499,0.540909,0.59387,0.651899,0.434389,0,0.5,0.25,0,0,0,0.653061,0,0,0,0,0,0,3
0.5,0,0.263499,0.540909,0.670498,0.746835,0.443439,0.166667,0.27,0.3,0,0,0,0.843537,0,0,0,0,0,0,3
0.666667,0,0.263499,0.540909,0.517241,0.556962,0.579186,0.3125,0.63,0.633333,0,0,0,0.163265,0,0,0,0,0,0,4
0.833333,0.5,0.263499,0.540909,0.521073,0.496835,0.497738,0.229167,0.77,0.383333,0,0,0,0.244898,0,0,0,0,0,0,3
1,1,0.263499,0.540909,0.444444,0.556962,0.429864,0.25,0.87,0.566667,0,0,0,0.517007,1,0,1,0,0,0,3
0,0,0.263499,0.540909,0.367816,0.335443,0.511312,0.229167,1,0.866667,0.231195,0,0,0,0,0,0,0,0,0,3
0.166667,0,0.263499,0.540909,0.478927,0.541139,0.665158,0.416667,0.47,0.416667,0.038717,0,0,0.571429,0,0,0,0,0,0,3
0.333333,0,0.263499,0.336364,0.544061,0.636076,0.316742,0.604167,0.03,0.216667,0.001106,0,0,0.891156,1,0,0,0,0,0,4
0.5,0,0.263499,0.336364,0.597701,0.75,0.348416,0.3125,0.03,0.266667,0,0,0,0.897959,0,0,0,0,0,0,4
0.666667,0,0.263499,0.336364,0.62069,0.677215,0.466063,0.541667,0.47,0.133333,0,0,0,0.727891,1,0,0,0,0,0,4
0.833333,0.5,0.263499,0.336364,0.551724,0.512658,0.755656,0.458333,0.87,0.583333,0,0,0,0.183673,0,0,0,0,0,0,3
1,1,0.263499,0.336364,0.582375,0.556962,0.791855,0.770833,0.73,0.6,0,0,0,0.414966,1,0,0,0,0,0,1
0,0,0.263499,0.336364,0.651341,0.661392,0.547511,0.3125,0.93,0.383333,0,0,0,0.387755,0,0,0,0,0,0,3
0.166667,0,0.263499,0.336364,0.636015,0.718354,0.520362,0.520833,0.57,0.366667,0,0,0,0.55102,1,0,0,0,0,0,4
0.333333,0,0.291577,0.277273,0.762452,0.810127,0.565611,0.1875,0.37,0.3,0,0,0,0.659864,0,0,0,0,0,0,3
0.5,0,0.291577,0.277273,0.56705,0.623418,0.846154,0.083333,0.97,0.75,0,0,0,0,0,0,0,0,0,0,1
0.666667,0,0.291577,0.109091,0.643678,0.626582,0.846154,0.625,0.57,0.366667,0.033186,0,0,0.789116,1,0,0,0,0,0,3
0.833333,0.5,0.291577,0.109091,0.56705,0.667722,0.61991,0.4375,0.77,0.816667,0,0,0,0.639456,0,0,1,0,1,0,4
1,1,0.291577,0.109091,0.478927,0.443038,0.701357,0.270833,0.97,0.8,0.099558,0,0,0,0,0,1,0,0,0,2
0,0,0.291577,0.109091,0.490421,0.436709,0.81448,0.208333,1,0.95,0.173673,0,0,0.020408,0,0,0,0,0,0,3
