@relation 'en5_m03_DIEC_2013-16_Class4-class2_181p-numeric-Q4-weka.filters.unsupervised.attribute.Remove-R1-3,6-7,184-weka.filters.unsupervised.attribute.Remove-R3-7,9-13,15-80,97-176-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SMOTE-C1-K5-P90.7-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P84.9-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P408.4-S1'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class4_callin_slo {1,2,3,4}

@data
0.166667,0,0.035839,0.206406,0.714286,0.664336,0.743034,0.25641,0.896907,0.741935,0.010219,0,0,0.303371,0,0,0,0,0,0,3
0.333333,0,0.035839,0.177936,0.690476,0.632867,0.811146,0.410256,0.793814,0.419355,0.007299,0,0,0.58427,0,0,0,0,0,0,2
0.5,0,0.035839,0.142349,0.59127,0.493007,0.708978,0.461538,0.762887,0.354839,0,0,0,0.123596,0,0,0,0,0,0,3
0.666667,0,0.035839,0.024911,0.551587,0.531469,0.510836,0.282051,0.515464,0.419355,0,0,0,1,0,0,0,0,0,0,3
0.833333,0.5,0.015734,0.024911,0.559524,0.440559,0.619195,0.128205,0.969072,0.758065,0,0,0,0,0,0,0,0,0,0,3
1,1,0.015734,0.024911,0.714286,0.618881,0.795666,0.282051,1,0.83871,0.00292,0,0,0,0,0,0,0,0,0,1
0,0,0.015734,0.024911,0.753968,0.632867,0.879257,0.25641,0.969072,0.774194,0.00292,0,0,0,0,0,0,0,0,0,4
0.166667,0,0.015734,0.074733,0.785714,0.716783,0.866873,0.102564,1,0.725806,0,0,0,0.123596,0,0,0,0,0,0,3
0.333333,0,0.015734,0.074733,0.77381,0.646853,0.835913,0.128205,1,0.774194,0.010949,0,0,0,0,0,0,0,0,0,3
0.5,0,0.015734,0.074733,0.825397,0.72028,0.904025,0.307692,0.927835,0.725806,0.00365,0,0,0.134831,0,0,1,0,0,0,3
0.666667,0,0.015734,0.074733,0.698413,0.636364,0.888545,0.384615,0.453608,0.741935,0.059854,0,0,0.47191,0,0,1,0,0,0,4
0.833333,0.5,0.106643,0.074733,0.642857,0.520979,0.678019,0.435897,1,0.967742,0.093431,0,0,0,0,0,0,0,0,0,3
1,1,0.117133,0.074733,0.698413,0.751748,0.804954,0.153846,0.309278,0.709677,0.044526,0,0,0.494382,0,0,0,0,0,0,2
0,0,0.106643,0.074733,0.686508,0.594406,0.678019,0.153846,0.824742,0.822581,0.00146,0,0,0.157303,0,0,0,0,0,0,3
0.166667,0,0.035839,0.074733,0.753968,0.741259,0.674923,0.410256,0.721649,0.758065,0,0,0,0.404494,0,0,0,0,0,0,3
0.333333,0,0.035839,0.074733,0.722222,0.744755,0.795666,0.461538,0.515464,0.516129,0.005839,0,0,0.842697,0,0,0,0,0,0,3
0.5,0,0.035839,0.074733,0.630952,0.737762,0.526316,0.230769,0.175258,0.645161,0,0,0,0.977528,0,0,0,0,0,0,3
0.666667,0,0.035839,0.074733,0.650794,0.783217,0.535604,0.205128,0.587629,0.629032,0,0,0,0.674157,0,0,0,0,0,0,4
0.833333,0.5,0.035839,0.074733,0.75,0.744755,0.575851,0.333333,0.690722,0.645161,0,0,0,0.52809,0,0,0,0,0,0,4
1,1,0.035839,0.074733,0.805556,0.755245,0.743034,0.666667,0.659794,0.725806,0,0,0,0.292135,0,0,0,0,0,0,2
0,0,0.035839,0.074733,0.880952,0.741259,0.897833,0.051282,0.793814,0.870968,0.021898,0,0,0.033708,0,0,0,0,0,0,3
0.166667,0,0.035839,0.074733,0.940476,0.765734,0.96904,0.74359,0.896907,0.709677,0.005109,0,0,0,0,0,0,0,0,0,3
0.333333,0,0.035839,0.074733,0.936508,0.797203,0.885449,0.641026,0.721649,0.66129,0,0,0,0.05618,0,0,0,0,0,0,4
0.5,0,0.035839,0.074733,0.849206,0.727273,0.882353,0.205128,0.927835,0.887097,0,0,0,0,0,0,0,0,0,0,3
0.666667,0,0.035839,0.074733,0.892857,0.867133,0.879257,0.589744,0.484536,0.645161,0.00292,0,0,0.674157,1,0,0,0,0,0,4
0.833333,0.5,0.035839,0.074733,0.880952,0.811189,0.854489,0.897436,0.278351,0.725806,0,0,0,0.831461,0,0,0,0,0,0,4
1,1,0.035839,0.074733,0.853175,0.734266,0.693498,0.666667,0.824742,0.774194,0,0,0,0.089888,1,0,0,0,0,0,3
0,0,0.035839,0.074733,0.992063,0.832168,1,0.384615,0.896907,0.596774,0,0,0,0.101124,0,0,0,0,0,0,3
0.166667,0,0.035839,0.074733,0.924603,0.856643,0.866873,0.230769,0.721649,0.629032,0,0,0,0.078652,0,0,0,0,0,0,3
0.333333,0,0.035839,0.074733,0.75,0.671329,0.869969,0.538462,1,0.5,0,0,0,0,0,0,1,0,0,0,2
0.5,0,0.035839,0.074733,0.75,0.660839,0.851393,0.384615,0.896907,0.322581,0,0,0,0.58427,0,0,0,0,0,0,2
0.666667,0,0.027098,0.024911,0.674603,0.695804,0.603715,0.230769,0.278351,0.645161,0,0,0,0.910112,0,0,0,0,0,0,1
0.833333,0.5,0.027098,0.024911,0.801587,0.671329,0.647059,0.333333,0.969072,0.822581,0,0,0,0,0,0,0,0,0,0,2
1,1,0.027098,0.024911,0.757937,0.681818,0.897833,0.589744,0.896907,0.822581,0.005839,0,0,0,1,0,1,0,0,0,2
0,0,0.027098,0.024911,0.611111,0.503497,0.780186,0.307692,1,0.903226,0.170803,0,0,0,0,0,0,0,0,0,1
0.166667,0,0.027098,0.024911,0.611111,0.465035,0.842105,0.307692,0.969072,0.870968,0.319708,0,0,0,0,0,0,0,0,0,3
0.333333,0,0.146853,0.405694,0.563492,0.520979,0.650155,0.25641,0.865979,0.854839,0.071533,0,0,0.370787,0,0,0,0,0,0,2
0.5,0,0.146853,0.405694,0.619048,0.531469,0.684211,0.153846,0.690722,0.854839,0,0,0,0.359551,0,0,0,0,0,0,2
0.666667,0,0.146853,0.405694,0.765873,0.646853,0.835913,0.307692,1,0.822581,0.00292,0,0,0.089888,0,0,0,0,0,0,3
0.833333,0.5,0.543706,0.405694,0.75,0.734266,0.817337,1,1,0.709677,0.016788,0,0,0,1,0,0,0,0,0,4
1,1,0.645979,0.405694,0.531746,0.405594,0.71517,0.307692,1,0.935484,0.091971,0,0,0,0,0,0,0,0,0,2
0,0,0.543706,0.405694,0.634921,0.496503,0.736842,0.615385,0.896907,0.080645,0.231387,0,0,0,0,0,0,0,0,0,4
