@relation 'en5_m03_DIEC_2013-16_Class4-class2_181p-numeric-Q4-weka.filters.unsupervised.attribute.Remove-R1-3,6-7,184-weka.filters.unsupervised.attribute.Remove-R178-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class4_callin_slo {1,2,3,4}

@data
2,1,117,251,8,20,44,69,129,146,13,36,49,68,127,12,8,5,54,99,13.1,17.6,2.1,67,75,0.8,0,0,0,0,0,0,0,0,12.3,16.4,6.4,1,93,77,1.6,0,0,4.1,0,0,0,0,0,0,14.8,21.5,6.5,2.7,27,69,0.9,0,0,9.8,1,0,0,0,0,0,10.5,14.1,1,97,89,3.6,0,0,0,0,0,0,0,0,12,16,6,1,90,84,1.4,0,0,2.7,0,0,0,0,0,0,12,16.4,8,1.6,63,70,5.5,0,0,6.8,0,0,0,0,0,0,11.4,16.3,5.6,1.6,80,73,10.2,0,0,3.4,0,0,0,0,0,0,15.7,20.1,6.2,3.5,27,61,2.3,0,0,9.4,0,0,0,0,0,0,12.6,17,7.3,0.6,73,75,1.3,0,0,6.6,0,0,0,0,0,0,11.3,16,6.9,1.7,63,71,0.1,0,0,9.6,0,0,0,0,0,0,3
3,1,117,251,8,20,44,69,129,146,13,36,49,60,127,12,8,5,54,99,10.8,15.6,1.6,60,69,0.4,0,0,0,0,0,0,0,0,10.4,15.2,5.5,1.3,60,69,0.4,0,0,8.6,0,0,0,0,0,0,12.4,20,7.6,3.4,13,65,0,0,0,9.4,0,0,0,0,0,0,10.1,14.6,2.9,67,73,2,0,0,0,0,0,0,0,0,11.4,15.1,8.2,1.6,80,64,1,0,0,5.2,0,0,0,0,0,0,9.7,14.1,3.8,1.3,43,72,0,0,0,8,1,0,0,0,0,0,8.4,13.5,1.7,1.6,50,79,0.1,0,0,8.4,0,0,0,0,0,0,14.5,18.4,8.2,4.9,33,51,3,0,0,10.1,1,0,0,0,0,0,10.6,14.9,7.8,2,77,63,0,0,0,8.9,0,0,0,0,0,0,9.2,14.3,5.2,3.2,37,64,0.2,0,0,8.4,0,0,0,0,0,0,2
4,1,117,251,8,20,44,69,129,146,13,36,49,50,127,12,8,5,54,99,7.1,12.5,1.9,20,65,0,0,0,0,0,0,0,0,0,6.4,11.9,-1,1,73,74,0,0,0,5.5,0,0,0,0,0,0,11.7,18.2,4.2,2.3,27,61,0,0,0,8.7,0,0,0,0,0,0,7.7,10.2,1.9,93,69,0,0,0,0,0,0,0,0,0,8.9,11.1,4.9,1.8,77,60,0,0,0,1.1,0,0,0,0,0,0,7,11.3,-0.7,1,40,68,0,0,0,8,0,0,0,0,0,0,5.3,12,-1.9,0.8,20,76,0,0,0,8.8,0,0,0,0,0,0,11.6,15.7,8.7,4.1,20,49,0,0,0,10.3,0,0,0,0,0,0,6,11.8,0.4,1.1,37,73,0,0,0,3.5,0,0,0,0,0,0,6.7,11.2,2.7,2.1,23,64,0,0,0,9.5,0,0,0,0,0,0,3
5,1,117,251,3,20,44,69,129,146,13,36,49,17,20,12,8,5,61,111,5.2,11.8,1.2,30,78,0,0,0,0,0,0,0,0,0,4.6,12,-2.5,1,47,75,0,0,0,7.9,0,0,0,0,0,0,12.2,17,4.3,2,77,61,0,0,0,3.6,0,0,0,0,0,0,6.6,11.8,0.7,63,71,0,0,0,0,0,0,0,0,0,7.9,12.2,-1.5,1.1,53,64,0,0,0,8.9,0,0,0,0,0,0,5.6,12,-1.6,1.8,20,73,0,0,0,9.6,0,0,0,0,0,0,4.6,12.7,-3.6,1.2,17,77,0,0,0,8.8,0,0,0,0,0,0,9.9,16.1,7.4,2.4,60,60,0,0,0,6.4,0,0,0,0,0,0,5.8,12,-2.8,0.4,73,73,0,0,0,6.5,0,0,0,0,0,0,6.5,11.4,1,3.2,47,61,0,0,0,7.6,0,0,0,0,0,0,3
6,2,117,151,3,20,19,46,82,80,7,36,49,17,20,12,8,5,48,88,6.4,8.5,1.4,97,90,0,0,0,0,0,0,0,0,0,7,10.5,-1,0.9,93,86,0,0,0,0,0,0,0,0,0,0,13.7,14.7,8.6,1.5,100,87,0,0,0,0,0,0,0,0,0,0,7.4,8.9,0.2,93,85,0,0,0,0,0,0,0,0,0,8.1,9.6,2,0.5,97,85,0,0,0,0,0,0,0,0,0,0,6.9,10.4,-1.2,2.5,93,82,0,0,0,0,0,0,0,0,0,0,6.8,9.9,-2,1.4,80,83,0,0,0,1,0,0,0,0,0,0,11.4,13.3,4.4,0.8,100,91,0,0,0,0,0,0,0,0,0,0,6.5,7.8,0.4,0.3,100,92,0,0,0,0,0,0,0,0,0,0,8,9.1,4.1,1.9,100,84,0,0,0,0,0,0,0,0,0,0,3
7,3,117,151,3,20,19,46,82,80,7,36,49,17,20,12,8,5,36,66,11,13.6,0.1,100,93,0.5,0,0,0,0,0,0,0,0,10.9,14,4.3,0.8,97,88,0.3,0,0,0,0,0,0,0,0,0,15.9,18.2,13.2,0.8,100,91,4.5,0,0,0,0,0,0,0,0,0,11.3,14.8,0.6,97,88,0,0,0,0,0,0,0,0,0,12,14.7,7.7,1.1,100,90,0.4,0,0,0,0,0,0,0,0,0,10.9,13.1,6.5,0.6,97,88,0,0,0,0,0,0,0,0,0,0,10.5,11.7,7,0.6,100,95,3.2,0,0,0,0,0,0,0,0,0,16,18.4,11.8,1.4,97,85,13.6,0,0,0,0,0,0,0,0,0,10.5,11.9,7.2,0,100,91,2,0,0,0,0,0,0,0,0,0,11,12.5,8,1.9,100,88,9.6,0,0,0,0,0,0,0,0,0,1
1,1,117,151,3,20,19,46,82,80,7,36,49,17,20,12,8,5,54,99,12.5,17.2,0.6,87,81,0.8,0,0,0,0,0,0,0,0,12.6,16.4,9.7,1.3,97,80,0.1,0,0,0.3,0,0,0,0,0,0,14.2,19.9,11.8,0.8,87,85,16.1,0,0,0.6,0,0,0,0,0,0,12,14.4,0.8,100,91,0,0,0,0,0,0,0,0,0,13,15.1,10.4,1,97,86,0.4,0,0,0,0,0,0,0,0,0,12.6,16.8,10.5,1.9,93,81,0.4,0,0,4,0,0,0,0,0,0,12.5,17.8,10.2,1,77,80,7.3,0,0,5.8,0,0,0,0,0,0,16.4,18.6,13.2,2.9,93,60,0.2,0,0,0.2,0,0,0,0,0,0,12,14.2,10,0.3,100,86,0.7,0,0,0,0,0,0,0,0,0,10.9,12,8.1,4.1,93,73,1.3,0,0,0,0,0,0,0,0,0,4
2,1,117,151,3,20,19,46,82,80,7,36,49,31,127,12,8,5,54,99,14.3,18.1,0.8,97,78,0.5,0,0,0,0,0,0,0,0,13.3,18,10.4,1.2,93,79,1.6,0,0,1.6,0,0,0,0,0,0,14.9,16.3,11.4,1.9,97,86,1.9,0,0,0,0,0,0,0,0,0,12.8,16.2,0.1,97,82,0.2,0,0,0,0,0,0,0,0,13.8,17.5,10,0.4,100,83,0,0,0,1.1,0,0,0,0,0,0,13.7,18.4,9.5,1.2,83,74,0,0,0,4.4,1,0,0,0,0,0,13.3,19.5,4.5,1.3,67,78,0,0,0,7.4,0,0,0,0,0,0,15.1,18.2,12.7,1.9,80,74,1.5,0,0,0,0,0,0,0,0,0,13.7,17.3,10.2,0.7,93,78,0.8,0,0,1.7,0,0,0,0,0,0,11.6,14.2,8.8,3,97,78,1.7,0,0,0.4,0,0,0,0,0,0,3
3,1,83,251,3,10,19,46,82,80,7,36,49,31,127,12,8,1,54,99,12.4,14.6,0.8,97,96,0,0,0,0,0,0,0,0,0,12,15.7,5.4,0.5,97,89,0,0,0,0,0,0,0,0,0,0,15.3,20.3,12.4,3.5,90,88,19.9,0,0,2.1,0,0,0,0,0,0,12.3,15,0.3,97,89,0,0,0,0,0,0,0,0,0,13.5,15.5,9,0.5,100,86,1.5,0,0,0,0,0,0,0,0,0,12.9,17.2,6.7,1.9,93,84,0.4,0,0,0.3,0,0,0,0,0,0,13.3,17.1,7.8,1.1,93,86,0,0,0,0.9,0,0,0,0,0,0,15.4,20.5,10.4,0.8,80,87,3.2,0,0,2.5,0,0,0,0,0,0,12.6,14.7,8.4,0.1,100,89,0.7,0,0,0,0,0,0,0,0,0,12.1,15.5,9.9,2.4,97,82,4.8,0,0,0.5,0,0,0,0,0,0,3
4,1,83,251,3,10,19,46,82,80,7,36,49,31,127,12,8,1,54,99,14.3,16.9,0.6,93,93,8.6,0,0,0,0,0,0,0,0,14,18.6,7.5,1.6,93,86,0.3,0,0,2.4,0,0,0,0,0,0,18.3,20.3,12.1,4,93,82,3.9,0,0,1.6,1,0,0,0,0,0,13.9,15.6,1.8,100,90,2,0,0,0,0,0,0,0,0,14.8,17.6,11.2,1.2,93,83,0.5,0,0,1.2,0,0,1,0,0,0,13.8,18.5,9.2,2.7,97,88,0.4,0,0,3.1,1,0,0,0,0,0,15.2,19.7,10.9,2.2,87,84,0,0,0,4,0,0,0,0,0,0,17.1,18.7,13.6,3.5,100,87,7.1,0,0,0.1,1,0,0,0,0,0,12.6,15.9,10,0.7,100,92,0.6,0,0,0,0,0,0,0,0,0,13.6,16,10,2.9,100,88,0.1,0,0,0.2,0,0,0,0,0,0,3
