@relation 'model-2018, 4, y 2018 class4 SLO-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_mura_gradgona numeric
@attribute r_drava_borlformin numeric
@attribute r_dravinja_videm numeric
@attribute r_savinja_velikosirje numeric
@attribute r_sava_radovljica numeric
@attribute r_sava_sentjakob numeric
@attribute r_sava_hrastnik numeric
@attribute r_sava_catez numeric
@attribute r_sora_suha numeric
@attribute r_krka_podbocje numeric
@attribute r_kolpa_radenci numeric
@attribute r_ljubljanica_moste numeric
@attribute r_soca_solkan numeric
@attribute r_vipava_dolenje numeric
@attribute r_idrijca_podroteja numeric
@attribute r_reka_cmlin numeric
@attribute accidents numeric
@attribute accidents_people numeric
@attribute s_br_temp_avg numeric
@attribute s_br_temp_max numeric
@attribute s_br_wind_speed numeric
@attribute s_br_cloudiness numeric
@attribute s_br_humidity numeric
@attribute s_br_rainfall numeric
@attribute s_br_snow_high numeric
@attribute s_br_snow_new numeric
@attribute s_br_wind_strong numeric
@attribute s_br_wind_storm numeric
@attribute s_br_thunderstorm numeric
@attribute s_br_freezing_rain numeric
@attribute s_br_hail numeric
@attribute s_br_frost numeric
@attribute s_ce_temp_avg numeric
@attribute s_ce_temp_max numeric
@attribute s_ce_temp_min numeric
@attribute s_ce_wind_speed numeric
@attribute s_ce_cloudiness numeric
@attribute s_ce_humidity numeric
@attribute s_ce_rainfall numeric
@attribute s_ce_snow_high numeric
@attribute s_ce_snow_new numeric
@attribute s_ce_sunshine_duration numeric
@attribute s_ce_wind_strong numeric
@attribute s_ce_wind_storm numeric
@attribute s_ce_thunderstorm numeric
@attribute s_ce_freezing_rain numeric
@attribute s_ce_hail numeric
@attribute s_ce_frost numeric
@attribute s_kp_temp_avg numeric
@attribute s_kp_temp_max numeric
@attribute s_kp_temp_min numeric
@attribute s_kp_wind_speed numeric
@attribute s_kp_cloudiness numeric
@attribute s_kp_humidity numeric
@attribute s_kp_rainfall numeric
@attribute s_kp_snow_high numeric
@attribute s_kp_snow_new numeric
@attribute s_kp_sunshine_duration numeric
@attribute s_kp_wind_strong numeric
@attribute s_kp_wind_storm numeric
@attribute s_kp_thunderstorm numeric
@attribute s_kp_freezing_rain numeric
@attribute s_kp_hail numeric
@attribute s_kp_frost numeric
@attribute s_kr_temp_avg numeric
@attribute s_kr_temp_max numeric
@attribute s_kr_wind_speed numeric
@attribute s_kr_cloudiness numeric
@attribute s_kr_humidity numeric
@attribute s_kr_rainfall numeric
@attribute s_kr_snow_high numeric
@attribute s_kr_snow_new numeric
@attribute s_kr_wind_strong numeric
@attribute s_kr_wind_storm numeric
@attribute s_kr_thunderstorm numeric
@attribute s_kr_freezing_rain numeric
@attribute s_kr_hail numeric
@attribute s_kr_frost numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute s_mb_temp_avg numeric
@attribute s_mb_temp_max numeric
@attribute s_mb_temp_min numeric
@attribute s_mb_wind_speed numeric
@attribute s_mb_cloudiness numeric
@attribute s_mb_humidity numeric
@attribute s_mb_rainfall numeric
@attribute s_mb_snow_high numeric
@attribute s_mb_snow_new numeric
@attribute s_mb_sunshine_duration numeric
@attribute s_mb_wind_strong numeric
@attribute s_mb_wind_storm numeric
@attribute s_mb_thunderstorm numeric
@attribute s_mb_freezing_rain numeric
@attribute s_mb_hail numeric
@attribute s_mb_frost numeric
@attribute s_ms_temp_avg numeric
@attribute s_ms_temp_max numeric
@attribute s_ms_temp_min numeric
@attribute s_ms_wind_speed numeric
@attribute s_ms_cloudiness numeric
@attribute s_ms_humidity numeric
@attribute s_ms_rainfall numeric
@attribute s_ms_snow_high numeric
@attribute s_ms_snow_new numeric
@attribute s_ms_sunshine_duration numeric
@attribute s_ms_wind_strong numeric
@attribute s_ms_wind_storm numeric
@attribute s_ms_thunderstorm numeric
@attribute s_ms_freezing_rain numeric
@attribute s_ms_hail numeric
@attribute s_ms_frost numeric
@attribute s_ng_temp_avg numeric
@attribute s_ng_temp_max numeric
@attribute s_ng_temp_min numeric
@attribute s_ng_wind_speed numeric
@attribute s_ng_cloudiness numeric
@attribute s_ng_humidity numeric
@attribute s_ng_rainfall numeric
@attribute s_ng_snow_high numeric
@attribute s_ng_snow_new numeric
@attribute s_ng_sunshine_duration numeric
@attribute s_ng_wind_strong numeric
@attribute s_ng_wind_storm numeric
@attribute s_ng_thunderstorm numeric
@attribute s_ng_freezing_rain numeric
@attribute s_ng_hail numeric
@attribute s_ng_frost numeric
@attribute s_nm_temp_avg numeric
@attribute s_nm_temp_max numeric
@attribute s_nm_temp_min numeric
@attribute s_nm_wind_speed numeric
@attribute s_nm_cloudiness numeric
@attribute s_nm_humidity numeric
@attribute s_nm_rainfall numeric
@attribute s_nm_snow_high numeric
@attribute s_nm_snow_new numeric
@attribute s_nm_sunshine_duration numeric
@attribute s_nm_wind_strong numeric
@attribute s_nm_wind_storm numeric
@attribute s_nm_thunderstorm numeric
@attribute s_nm_freezing_rain numeric
@attribute s_nm_hail numeric
@attribute s_nm_frost numeric
@attribute s_po_temp_avg numeric
@attribute s_po_temp_max numeric
@attribute s_po_temp_min numeric
@attribute s_po_wind_speed numeric
@attribute s_po_cloudiness numeric
@attribute s_po_humidity numeric
@attribute s_po_rainfall numeric
@attribute s_po_snow_high numeric
@attribute s_po_snow_new numeric
@attribute s_po_sunshine_duration numeric
@attribute s_po_wind_strong numeric
@attribute s_po_wind_storm numeric
@attribute s_po_thunderstorm numeric
@attribute s_po_freezing_rain numeric
@attribute s_po_hail numeric
@attribute s_po_frost numeric
@attribute class4_callin_slo {1,2,3,4}

@data
1,1,0.159951,0.309839,0.037358,0.028058,0.033993,0.030929,0.044285,0.059912,0.016317,0.046282,0.01935,0.040087,0.002718,0.023539,0.006664,0.00501,0.318182,0.508772,0.788804,0.694712,0.215686,0.73,0.277778,0.20191,0,0,0,0,0,0,0,0,0.822622,0.72549,0.915367,0.173077,0.57,0.155556,0.024605,0,0,0.230769,0,0,0,0,0,0,0.81791,0.803109,0.749226,0.306818,0.43,0.358209,0.008757,0,0,0.265306,0,0,1,0,0,0,0.801034,0.696891,0.272727,0.87,0.191489,0.011853,0,0,0,0,0,0,0,0,0.745098,0.686893,0.937313,0.135135,0.8,0.153846,0.00111,0,0,0.230769,0,0,0,0,0,0,0.765,0.715663,0.820569,0.092784,0.57,0.058824,0.002251,0,0,0.528571,0,0,0,0,0,0,0.741772,0.721951,0.701183,0.128205,0.57,0.269231,0,0,0,0.816327,0,0,0,0,0,0,0.811728,0.711688,0.900621,0.52381,0.77,0.184615,0,0,0,0.337931,1,0,0,0,0,0,0.778378,0.739759,0.807692,0.106383,0.7,0.333333,0.478516,0,0,0.381295,0,0,0,0,0,0,0.77907,0.729858,0.814404,0.210526,0.87,0.2,0.021372,0,0,0.276596,1,0,0,0,0,0,2
0,0,0.136267,0.426591,0.019641,0.018943,0.04689,0.030088,0.041239,0.062888,0.015068,0.038226,0.017164,0.037619,0.02808,0.020079,0.005946,0.005171,0.340909,0.333333,0.854962,0.764423,0.333333,0.83,0.333333,0,0,0,0,0,0,0,0,0,0.856041,0.779412,0.857461,0.192308,0.87,0.377778,0,0,0,0.346154,0,0,0,0,0,0,0.791045,0.766839,0.780186,0.215909,0.63,0.537313,0,0,0,0.414966,0,0,0,0,0,0,0.813953,0.73057,0.015152,0.83,0.446809,0,0,0,0,0,0,0,0,0,0.806723,0.73301,0.940299,0.054054,0.8,0.384615,0,0,0,0.125874,0,0,0,0,0,0,0.8125,0.773494,0.794311,0.226804,0.87,0.352941,0,0,0,0.292857,0,0,0,0,0,0,0.810127,0.739024,0.674556,0.205128,0.67,0.307692,0,0,0,0.455782,0,0,0,0,0,0,0.82716,0.771429,0.934783,0.202381,0.93,0.4,0,0,0,0.186207,0,0,0,0,0,0,0.845946,0.773494,0.832168,0.148936,0.93,0.5,0,0,0,0.338129,0,0,0,0,0,0,0.866279,0.767773,0.903047,0.081871,1,0.377778,0,0,0,0.432624,0,0,0,0,0,0,2
0.166667,0,0.126559,0.553163,0.016616,0.013963,0.036174,0.029078,0.041583,0.053451,0.014409,0.031752,0.014643,0.03962,0.022965,0.017867,0.008082,0.004504,0.363636,0.368421,0.92112,0.824519,0.45098,0.7,0.37037,0,0,0,0,0,0,0,0,0,0.902314,0.857843,0.986637,0.307692,0.7,0.377778,0,0,0,0.446154,0,0,1,0,0,0,0.832836,0.810881,0.74613,0.238636,0.47,0.641791,0,0,0,0.598639,0,0,0,0,0,0,0.881137,0.862694,0.257576,0.83,0.382979,0,0,0,0,0,1,0,0,0,0.803922,0.820388,0.979104,0.094595,0.77,0.634615,0,0,0,0.265734,0,0,1,0,0,0,0.8775,0.828916,0.932166,0.175258,0.7,0.372549,0,0,0,0.385714,0,0,0,0,0,0,0.865823,0.819512,0.911243,0.192308,0.6,0.423077,0,0,0,0.517007,0,0,0,0,0,0,0.901235,0.836364,0.919255,0.130952,0.93,0.476923,0,0,0,0.37931,0,0,0,0,0,0,0.908108,0.840964,0.972028,0.255319,0.8,0.541667,0,0,0,0.316547,0,0,1,0,0,0,0.863372,0.836493,0.99446,0.105263,0.97,0.577778,0,0,0,0.624113,0,0,1,0,0,0,1
0.333333,0,0.12263,0.48518,0.042666,0.033269,0.034958,0.029716,0.070024,0.112988,0.021187,0.154805,0.014807,0.116129,0.056805,0.047426,0.081217,0.011563,0.386364,0.298246,0.880407,0.834135,0.333333,0.53,0.666667,0.987722,0,0,0,0,1,0,0,0,0.892031,0.875,0.962138,0.096154,0.57,0.6,0.233743,0,0,0.630769,0,0,1,0,0,0,0.868657,0.860104,0.783282,0.170455,0.27,0.567164,0,0,0,0.693878,0,0,0,0,0,0,0.868217,0.829016,0.106061,0.43,0.617021,0.06681,0,0,0,0,1,0,0,0,0.848739,0.84466,0.961194,0.027027,0.5,0.576923,0.341842,0,0,0.405594,0,0,0,0,0,0,0.8775,0.857831,0.938731,0.206186,0.57,0.529412,0.092273,0,0,0.707143,0,0,0,0,0,0,0.848101,0.826829,0.931953,0.230769,0.37,0.653846,0.088608,0,0,0.727891,0,0,0,0,0,0,0.851852,0.857143,0.84472,0.119048,0.33,0.569231,0.02,0,0,0.682759,0,0,0,0,0,0,0.897297,0.855422,0.944056,0.148936,0.63,0.625,0.757812,0,0,0.705036,0,0,1,0,0,0,0.895349,0.862559,0.947368,0.105263,0.53,0.488889,0.164229,0,0,0.723404,0,0,0,0,0,0,3
0.5,0,0.116267,0.532225,0.029055,0.024375,0.045695,0.02871,0.053332,0.131998,0.015169,0.154637,0.013272,0.062267,0.041172,0.035065,0.020205,0.013085,0.5,0.561404,0.875318,0.889423,0.137255,0.3,0.537037,0,0,0,0,0,1,0,0,0,0.917738,0.914216,0.908686,0.269231,0.6,0.422222,0,0,0,0.776923,1,1,1,0,0,0,0.895522,0.852332,0.743034,0.272727,0.43,0.567164,0,0,0,0.870748,1,0,0,0,0,0,0.896641,0.92228,0.212121,0.5,0.404255,0,0,0,0,0,0,0,0,0,0.89916,0.895631,0.895522,0.135135,0.4,0.384615,0,0,0,0.545455,0,0,0,0,0,0,0.8925,0.918072,0.864333,0.268041,0.6,0.372549,0,0,0,0.714286,1,0,1,0,0,0,0.868354,0.892683,0.784024,0.141026,0.3,0.557692,0,0,0,0.755102,1,0,1,0,0,0,0.87037,0.849351,0.819876,0.202381,0.6,0.523077,0.014545,0,0,0.572414,1,0,1,0,0,0,0.881081,0.93012,0.853147,0.255319,0.63,0.583333,0,0,0,0.697842,1,0,1,0,0,0,0.901163,0.869668,0.875346,0.146199,0.9,0.577778,0,0,0,0.907801,0,0,0,0,0,0,2
0.666667,0,0.172001,0.481045,0.040784,0.033775,0.035524,0.027237,0.052687,0.09396,0.013355,0.101349,0.013817,0.067146,0.020286,0.064225,0.018352,0.089639,0.522727,0.45614,0.829517,0.728365,0.352941,0.63,0.648148,0.040928,0,0,1,0,0,0,0,0,0.85347,0.769608,0.951002,0.173077,0.97,0.644444,0,0,0,0.130769,0,0,0,0,0,0,0.791045,0.823834,0.690402,0.284091,0.43,0.686567,0.222417,0,0,0.802721,0,0,1,0,0,0,0.844961,0.787565,0.181818,0.9,0.659574,0,0,0,0,0,0,0,0,0,0.815126,0.757282,0.943284,0.067568,0.73,0.538462,0.015538,0,0,0.160839,0,0,0,0,0,0,0.795,0.73012,0.936543,0.28866,0.97,0.764706,0.0015,0,0,0.014286,0,0,0,0,0,0,0.8,0.680488,0.905325,0.294872,0.93,0.923077,0.238698,0,0,0.027211,0,0,0,0,0,0,0.802469,0.802597,0.807453,0.083333,0.77,0.646154,0.081818,0,0,0.406897,0,0,1,0,0,0,0.827027,0.771084,0.888112,0.170213,0.63,0.770833,0.121094,0,0,0.266187,0,0,0,0,0,0,0.866279,0.812796,0.867036,0.175439,0.77,0.577778,0.365579,0,0,0.836879,0,0,1,0,0,0,1
0.833333,0.5,0.16528,0.607532,0.040012,0.019907,0.036963,0.024635,0.046315,0.097737,0.011554,0.083719,0.014089,0.062681,0.015332,0.038332,0.012716,0.024915,0.409091,0.333333,0.885496,0.802885,0.333333,0.57,0.444444,0.039563,0,0,0,0,0,0,0,0,0.876607,0.872549,0.959911,0.115385,0.47,0.288889,0.003515,0,0,0.738462,0,0,0,0,0,0,0.835821,0.823834,0.705882,0.329545,0.37,0.552239,0,0,0,0.802721,0,0,0,0,0,0,0.865633,0.88601,0.151515,0.57,0.404255,0,0,0,0,0,0,0,0,0,0.862745,0.849515,0.946269,0.081081,0.5,0.326923,0,0,0,0.776224,0,0,0,0,0,0,0.8375,0.838554,0.910284,0.360825,0.47,0.294118,0.102026,0,0,0.8,0,0,0,0,0,0,0.855696,0.831707,0.902367,0.294872,0.2,0.288462,0.166365,0,0,0.809524,0,0,0,0,0,0,0.867284,0.833766,0.81677,0.154762,0.33,0.553846,0.314545,0,0,0.696552,0,0,0,0,0,0,0.862162,0.828916,0.905594,0.212766,0.5,0.5625,0.007813,0,0,0.798561,1,0,0,0,0,0,0.877907,0.862559,0.875346,0.099415,0.4,0.4,0,0,0,0.836879,0,0,0,0,0,0,3
1,1,0.131246,0.41177,0.021884,0.015729,0.038215,0.023007,0.04487,0.059641,0.011441,0.060477,0.014807,0.054266,0.01243,0.028697,0.009172,0.015534,0.284091,0.403509,0.844784,0.814904,0.294118,0.47,0.351852,0,0,0,0,0,0,0,0,0,0.812339,0.838235,0.826281,0.288462,0.57,0.511111,0,0,0,0.584615,0,0,1,0,0,0,0.752239,0.826425,0.665635,0.215909,0.37,0.522388,0,0,0,0.659864,0,0,0,0,0,0,0.829457,0.818653,0.212121,0.63,0.361702,0,0,0,0,0,1,0,0,0,0.789916,0.817961,0.814925,0.121622,0.67,0.403846,0,0,0,0.671329,0,0,0,0,0,0,0.8475,0.821687,0.774617,0.123711,0.57,0.215686,0,0,0,0.764286,0,0,0,0,0,0,0.853165,0.82439,0.718935,0.205128,0.6,0.365385,0,0,0,0.77551,0,0,0,0,0,0,0.768519,0.8,0.767081,0.142857,0.33,0.630769,0,0,0,0.662069,0,0,1,0,0,0,0.837838,0.826506,0.776224,0.255319,0.6,0.458333,0.015625,0,0,0.661871,1,0,1,0,0,0,0.811047,0.817536,0.792244,0.081871,0.7,0.555556,0,0,0,0.687943,0,0,1,0,0,0,1
0,0,0.111298,0.371188,0.017346,0.016719,0.037597,0.025251,0.039903,0.052545,0.01043,0.052106,0.012196,0.049551,0.014272,0.028672,0.008268,0.020761,0.431818,0.263158,0.83715,0.831731,0.411765,0.23,0.388889,0,0,0,0,0,0,0,0,0,0.840617,0.848039,0.861915,0.115385,0.27,0.4,0.100176,0,0,0.692308,0,0,0,0,0,0,0.802985,0.823834,0.668731,0.340909,0.47,0.507463,0.014011,0,0,0.734694,0,0,0,0,0,0,0.824289,0.84715,0.212121,0.7,0.446809,0.042026,0,0,0,0,0,0,0,0,0.837535,0.830097,0.904478,0.148649,0.57,0.230769,0.022198,0,0,0.643357,0,0,0,0,0,0,0.845,0.836145,0.814004,0.360825,0.27,0.235294,0,0,0,0.928571,0,0,0,0,0,0,0.858228,0.84878,0.745562,0.24359,0.03,0.346154,0,0,0,0.816327,0,0,0,0,0,0,0.820988,0.802597,0.807453,0.154762,0.9,0.553846,0.050909,0,0,0.57931,0,0,0,0,0,0,0.837838,0.848193,0.755245,0.148936,0.27,0.479167,0.132813,0,0,0.76259,0,0,0,0,0,0,0.848837,0.838863,0.883657,0.070175,0.6,0.4,0.060742,0,0,0.765957,0,0,0,0,0,0,2
0.166667,0,0.101404,0.439428,0.015186,0.007014,0.035031,0.023455,0.037612,0.057425,0.009238,0.041459,0.010389,0.035083,0.018402,0.023166,0.007284,0.010672,0.306818,0.315789,0.870229,0.862981,0.254902,0.27,0.37037,0,0,0,0,0,0,0,0,0,0.876607,0.879902,0.844098,0.192308,0.63,0.422222,0,0,0,0.653846,0,0,0,0,0,0,0.844776,0.84456,0.690402,0.227273,0.5,0.432836,0,0,0,0.782313,0,0,0,0,0,0,0.865633,0.849741,0.333333,0.67,0.382979,0,0,0,0,0,1,0,0,0,0.851541,0.856796,0.81791,0.067568,0.63,0.326923,0,0,0,0.636364,0,0,0,0,0,0,0.875,0.86747,0.796499,0.340206,0.63,0.313725,0,0,0,0.507143,0,0,0,0,0,0,0.886076,0.85122,0.757396,0.282051,0.37,0.326923,0,0,0,0.680272,0,0,0,0,0,0,0.882716,0.820779,0.779503,0.297619,0.1,0.415385,0,0,0,0.703448,0,0,0,0,0,0,0.878378,0.908434,0.751748,0.255319,0.57,0.416667,0,0,0,0.719424,0,0,0,0,0,0,0.866279,0.850711,0.803324,0.116959,0.57,0.466667,0,0,0,0.815603,0,0,0,0,0,0,1
