@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
0,0,0.124935,0.743725,0.355742,0.34466,0.623881,0.216216,1,0.884615,0.00111,0,0,0,0,0,0,0,0,0,0
0.166667,0,0.207218,0.879633,0.280112,0.245146,0.444776,0.067568,1,0.961538,0.287458,0,0,0,0,0,0,0,0,0,0
0.333333,0,0.170967,0.810794,0.32493,0.356796,0.516418,0.175676,0.6,0.673077,0,0,0,0.167832,1,0,0,0,0,0,0
0.5,0,0.133668,0.741079,0.277311,0.247573,0.358209,0.013514,0.7,0.961538,0.00333,0,0,0.055944,0,0,0,0,0,0,0
0.666667,0,0.118657,0.675444,0.420168,0.349515,0.528358,0,1,0.961538,0,0,0,0,0,0,0,0,0,0,0
0.833333,0.5,0.118362,0.635025,0.518207,0.495146,0.656716,0.202703,0.73,0.846154,0.055494,0,0,0.146853,0,0,0,0,0,0,0
1,1,0.156293,0.608005,0.47619,0.40534,0.653731,0.162162,0.87,0.903846,0.009989,0,0,0,0,0,0,0,0,0,0
0,0,0.162916,0.5718,0.414566,0.364078,0.522388,0.108108,1,1,0.00333,0,0,0,0,0,0,0,0,0,0
0.166667,0,0.21154,0.578036,0.417367,0.349515,0.632836,0.027027,0.97,0.961538,0.00111,0,0,0,0,0,1,0,0,0,0
0.333333,0,0.310741,0.796432,0.40056,0.36165,0.656716,0.040541,0.97,0.980769,0.266371,0,0,0,0,0,0,0,0,0,0
0.5,0,0.235658,0.727367,0.358543,0.305825,0.567164,0.027027,1,0.942308,0.00222,0,0,0,0,0,0,0,0,0,0
0.666667,0,0.189959,0.653433,0.352941,0.332524,0.402985,0.081081,0.67,0.826923,0,0,0,0.34965,0,0,0,0,0,0,0
0.833333,0.5,0.143854,0.590348,0.358543,0.31068,0.576119,0.202703,0.67,0.596154,0,0,0,0.048951,0,0,0,0,0,0,0
1,1,0.110155,0.504785,0.266106,0.257282,0.537313,0.243243,1,0.653846,0,0,0,0,0,0,0,0,0,0,0
0,0,0.110886,0.498448,0.229692,0.194175,0.414925,0.135135,0.9,0.653846,0.00111,0,0,0,0,0,0,0,0,0,0
0.166667,0,0.09713,0.485179,0.32493,0.31068,0.459701,0.013514,0.97,0.903846,0.011099,0.037037,0.045455,0,0,0,0,0,0,0,0
0.333333,0,0.091261,0.476928,0.32493,0.32767,0.576119,0.108108,0.63,0.576923,0.00444,0,0,0.048951,1,0,0,0,0,0,0
0.5,0,0.085804,0.463649,0.347339,0.390777,0.223881,0.202703,0.2,0.230769,0.00222,0,0,0.552448,1,0,0,0,0,0,0
0.666667,0,0.075564,0.46502,0.338936,0.351942,0.504478,0.216216,1,0.865385,0,0,0,0,0,0,0,0,0,0,0
